J M Smucker PE Ratio Historical Data,J M Smucker PE Ratio Historical Data,J M Smucker PE Ratio Historical Data,J M Smucker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,109.77,,0.0
2024-01-31,129.25,$-0.88,0.0
2023-10-31,110.8,$-0.06,0.0
2023-07-31,145.53,$-0.17,0.0
2023-04-30,148.2,$-0.93,0.0
2023-01-31,145.64,$6.64,21.93
2022-10-31,142.61,$5.33,26.76
2022-07-31,124.3,$5.44,22.85
2022-04-30,127.75,$5.83,21.91
2022-01-31,130.19,$5.31,24.52
2021-10-31,112.91,$6.99,16.15
2021-07-31,119.59,$7.11,16.82
2021-04-30,118.69,$7.77,15.28
2021-01-31,104.65,$8.40,12.46
2020-10-31,100.1,$7.72,12.97
2020-07-31,96.8,$7.55,12.82
2020-04-30,100.94,$6.83,14.78
2020-01-31,90.28,$5.48,16.47
2019-10-31,91.32,$4.91,18.6
2019-07-31,95.34,$4.72,20.2
2019-04-30,104.44,$4.53,23.06
2019-01-31,88.58,$5.54,15.99
2018-10-31,90.8,$11.79,7.7
2018-07-31,92.45,$11.84,7.81
2018-04-30,94.27,$11.79,8.0
2018-01-31,104.17,$11.11,9.38
2017-10-31,86.4,$4.95,17.46
2017-07-31,98.69,$4.76,20.73
2017-04-30,101.98,$5.10,20.0
2017-01-31,108.73,$5.75,18.91
2016-10-31,104.51,$6.14,17.02
2016-07-31,122.1,$6.09,20.05
2016-04-30,100.06,$5.77,17.34
2016-01-31,100.58,$3.34,30.12
2015-10-31,91.48,$3.37,27.15
2015-07-31,86.51,$3.45,25.08
2015-04-30,89.3,$3.45,25.88
2015-01-31,79.01,$5.43,14.55
2014-10-31,79.15,$5.44,14.55
2014-07-31,75.36,$5.35,14.09
2014-04-30,72.7,$5.40,13.46
2014-01-31,72.03,$5.46,13.19
2013-10-31,82.66,$5.29,15.63
2013-07-31,83.21,$5.19,16.03
2013-04-30,75.96,$5.00,15.19
2013-01-31,64.84,$4.71,13.77
2012-10-31,62.28,$4.32,14.42
2012-07-31,55.47,$4.08,13.6
2012-04-30,57.16,$4.06,14.08
2012-01-31,56.2,$3.95,14.23
2011-10-31,54.61,$4.03,13.55
2011-07-31,54.88,$4.16,13.19
2011-04-30,52.57,$4.04,13.01
2011-01-31,43.23,$4.23,10.22
2010-10-31,44.42,$4.26,10.43
2010-07-31,42.16,$4.19,10.06
2010-04-30,41.63,$4.16,10.01
2010-01-31,40.7,$3.95,10.31
2009-10-31,35.5,$3.49,10.17
