Colgate-Palmolive PE Ratio Historical Data,Colgate-Palmolive PE Ratio Historical Data,Colgate-Palmolive PE Ratio Historical Data,Colgate-Palmolive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,93.3,,29.53
2024-03-31,89.54,$3.16,28.33
2023-12-31,78.78,$2.78,28.34
2023-09-30,69.83,$1.92,36.37
2023-06-30,75.18,$1.80,41.77
2023-03-31,72.88,$1.92,37.96
2022-12-31,75.94,$2.13,35.65
2022-09-30,67.26,$2.30,29.24
2022-06-30,76.25,$2.31,33.01
2022-03-31,71.74,$2.42,29.64
2021-12-31,80.3,$2.56,31.37
2021-09-30,70.69,$3.13,22.59
2021-06-30,75.68,$3.19,23.72
2021-03-31,72.93,$3.10,23.53
2020-12-31,78.67,$3.13,25.13
2020-09-30,70.58,$3.13,22.55
2020-06-30,66.64,$2.99,22.29
2020-03-31,60.0,$2.93,20.48
2019-12-31,61.87,$2.75,22.5
2019-09-30,65.64,$2.70,24.31
2019-06-30,63.63,$2.63,24.19
2019-03-31,60.47,$2.68,22.56
2018-12-31,52.16,$2.75,18.97
2018-09-30,58.28,$2.42,24.08
2018-06-30,56.06,$2.50,22.42
2018-03-31,61.63,$2.36,26.11
2017-12-31,64.53,$2.28,28.3
2017-09-30,61.97,$2.59,23.93
2017-06-30,62.71,$2.69,23.31
2017-03-31,61.58,$2.77,22.23
2016-12-31,54.74,$2.72,20.13
2016-09-30,61.68,$1.53,40.31
2016-06-30,60.58,$1.55,39.08
2016-03-31,58.15,$1.51,38.51
2015-12-31,54.5,$1.51,36.09
2015-09-30,51.62,$2.70,19.12
2015-06-30,52.91,$2.49,21.25
2015-03-31,55.78,$2.53,22.05
2014-12-31,55.37,$2.36,23.46
2014-09-30,51.9,$2.28,22.76
2014-06-30,53.97,$2.39,22.58
2014-03-31,51.08,$2.32,22.02
2013-12-31,51.08,$2.39,21.42
2013-09-30,46.2,$2.42,19.13
2013-06-30,44.37,$2.40,18.53
2013-03-31,45.45,$2.45,18.59
2012-12-31,40.03,$2.58,15.55
2012-09-30,40.82,$2.55,16.01
2012-06-30,39.4,$2.53,15.6
2012-03-31,36.77,$2.51,14.68
2011-12-31,34.52,$2.47,13.98
2011-09-30,32.93,$2.49,13.25
2011-06-30,32.25,$2.44,13.24
2011-03-31,29.58,$2.39,12.38
2010-12-31,29.24,$2.16,13.57
2010-09-30,27.77,$2.14,12.98
2010-06-30,28.28,$2.10,13.5
2010-03-31,30.42,$2.05,14.88
2009-12-31,29.15,$2.18,13.37
