United Rentals PE Ratio Historical Data,United Rentals PE Ratio Historical Data,United Rentals PE Ratio Historical Data,United Rentals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,673.55,,18.24
2024-03-31,719.37,$36.92,19.48
2023-12-31,570.58,$35.35,16.14
2023-09-30,440.88,$34.49,12.78
2023-06-30,440.32,$32.86,13.4
2023-03-31,389.58,$31.18,12.49
2022-12-31,348.74,$29.76,11.72
2022-09-30,265.04,$27.22,9.74
2022-06-30,238.34,$24.19,9.85
2022-03-31,348.53,$21.31,16.36
2021-12-31,326.04,$20.35,16.02
2021-09-30,344.33,$16.61,20.73
2021-06-30,313.01,$13.91,22.5
2020-12-31,227.55,$12.22,18.62
2020-09-30,171.22,$12.62,13.57
2020-06-30,146.24,$12.55,11.65
2020-03-31,100.97,$14.70,6.87
2019-12-31,163.64,$15.81,10.35
2021-03-31,323.12,$13.51,23.92
2019-09-30,122.3,$14.51,8.43
2019-06-30,130.14,$13.44,9.68
2019-03-31,112.1,$13.20,8.49
2018-12-31,100.6,$13.16,7.64
2018-09-30,160.52,$19.81,8.1
2018-06-30,144.85,$18.13,7.99
2018-03-31,169.48,$16.58,10.22
2017-12-31,168.68,$15.71,10.74
2017-09-30,136.13,$7.06,19.28
2017-06-30,110.59,$6.89,16.05
2017-03-31,122.7,$6.76,18.15
2016-12-31,103.6,$6.49,15.96
2016-09-30,77.01,$6.50,11.85
2016-06-30,65.84,$6.59,9.99
2016-03-31,61.02,$5.95,10.26
2015-12-31,71.18,$6.10,11.67
2015-09-30,58.92,$6.17,9.55
2015-06-30,85.97,$5.76,14.93
2015-03-31,89.45,$5.78,15.48
2014-12-31,100.09,$5.18,19.32
2014-09-30,109.01,$4.61,23.65
2014-06-30,102.76,$4.12,24.94
2014-03-31,93.16,$4.00,23.29
2013-12-31,76.48,$3.63,21.07
2013-09-30,57.19,$2.72,21.03
2013-06-30,48.97,$2.07,23.66
2013-03-31,53.94,$0.66,81.72
2012-12-31,44.66,$0.64,69.79
2012-09-30,32.1,$0.63,50.94
2012-06-30,33.4,$0.84,39.76
2012-03-31,42.08,$1.84,22.87
2011-12-31,28.99,$1.33,21.8
2011-09-30,16.52,$0.59,28.01
2011-06-30,24.92,$0.01,2492.25
2011-03-31,32.65,$-0.18,0.0
2010-12-31,22.32,$-0.51,0.0
2010-09-30,14.56,$-0.59,0.0
2010-06-30,9.14,$-0.92,0.0
2010-03-31,9.2,$-1.42,0.0
2009-12-31,9.63,$-1.03,0.0
