Dollar General PE Ratio Historical Data,Dollar General PE Ratio Historical Data,Dollar General PE Ratio Historical Data,Dollar General PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,145.23,,19.21
2024-01-31,131.57,$7.56,17.4
2023-10-31,118.07,$8.69,13.59
2023-07-31,166.54,$9.76,17.06
2023-04-30,217.66,$10.61,20.51
2023-01-31,228.97,$10.68,21.44
2022-10-31,249.44,$10.29,24.24
2022-07-31,242.42,$10.04,24.15
2022-04-30,231.27,$9.75,23.72
2022-01-31,202.49,$10.16,19.93
2021-10-31,214.78,$10.21,21.04
2021-07-31,225.1,$10.44,21.56
2021-04-30,207.39,$10.87,19.08
2021-01-31,187.56,$10.61,17.68
2020-10-31,200.81,$10.09,19.9
2020-07-31,182.88,$9.20,19.88
2020-04-30,168.05,$7.73,21.74
2020-01-31,146.76,$6.65,22.07
2019-10-31,153.07,$6.39,23.95
2019-07-31,127.69,$6.23,20.5
2019-04-30,119.86,$6.10,19.65
2019-01-31,109.44,$5.98,18.3
2018-10-31,105.33,$6.77,15.56
2018-07-31,92.56,$6.44,14.37
2018-04-30,90.76,$6.00,15.13
2018-01-31,96.66,$5.66,17.08
2017-10-31,75.57,$4.52,16.72
2017-07-31,70.03,$4.43,15.81
2017-04-30,67.75,$4.43,15.29
2017-01-31,68.53,$4.44,15.43
2016-10-31,63.93,$4.25,15.04
2016-07-31,87.36,$4.27,20.46
2016-04-30,75.32,$4.14,18.19
2016-01-31,68.81,$3.95,17.42
2015-10-31,61.94,$3.82,16.21
2015-07-31,73.22,$3.74,19.58
2015-04-30,66.06,$3.62,18.25
2015-01-31,60.75,$3.50,17.36
2014-10-31,56.77,$3.34,17.0
2014-07-31,50.03,$3.30,15.16
2014-04-30,51.13,$3.22,15.88
2014-01-31,51.02,$3.17,16.09
2013-10-31,52.34,$3.13,16.72
2013-07-31,49.52,$3.01,16.45
2013-04-30,47.19,$2.90,16.27
2013-01-31,41.87,$2.86,14.64
2012-10-31,44.04,$2.74,16.07
2012-07-31,46.21,$2.62,17.64
2012-04-30,42.99,$2.40,17.91
2012-01-31,38.6,$2.22,17.39
2011-10-31,35.93,$2.01,17.87
2011-07-31,28.5,$1.88,15.16
2011-04-30,29.52,$1.87,15.79
2011-01-31,25.19,$1.81,13.92
2010-10-31,25.54,$1.43,17.86
