S&P Global PE Ratio Historical Data,S&P Global PE Ratio Historical Data,S&P Global PE Ratio Historical Data,S&P Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,438.24,,49.13
2024-03-31,425.45,$8.92,47.7
2023-12-31,439.6,$8.23,53.41
2023-09-30,363.85,$7.73,47.07
2023-06-30,398.26,$7.24,55.01
2023-03-31,341.65,$8.50,40.19
2022-12-31,331.05,$10.50,31.53
2022-09-30,301.09,$11.96,25.17
2022-06-30,331.61,$13.42,24.71
2022-03-31,402.58,$13.86,29.05
2021-12-31,462.31,$12.51,36.96
2021-09-30,415.54,$11.60,35.82
2021-06-30,400.71,$10.18,39.36
2021-03-31,343.8,$10.16,33.84
2020-12-31,319.52,$9.24,34.58
2020-09-30,349.8,$9.86,35.48
2020-06-30,319.02,$10.22,31.21
2019-12-31,263.19,$8.59,30.64
2019-09-30,235.63,$8.42,27.98
2019-06-30,218.61,$8.54,25.6
2019-03-31,201.53,$8.25,24.43
2018-12-31,162.2,$8.42,19.26
2020-03-31,236.76,$8.32,28.46
2018-09-30,185.97,$6.72,27.67
2018-06-30,193.58,$6.38,30.34
2018-03-31,180.95,$6.18,29.28
2017-12-31,160.02,$5.78,27.68
2017-09-30,147.29,$6.81,21.63
2017-06-30,137.19,$8.56,16.03
2017-03-31,122.5,$8.38,14.62
