Intercontinental Exchange PE Ratio Historical Data,Intercontinental Exchange PE Ratio Historical Data,Intercontinental Exchange PE Ratio Historical Data,Intercontinental Exchange PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,136.34,,31.27
2024-03-31,137.43,$4.36,31.52
2023-12-31,128.0,$4.20,30.48
2023-09-30,109.28,$4.31,25.35
2023-06-30,111.92,$3.01,37.18
2023-03-31,102.83,$2.58,39.85
2022-12-31,100.72,$2.57,39.19
2022-09-30,88.38,$4.51,19.6
2022-06-30,91.64,$5.97,15.35
2022-03-31,128.23,$7.20,17.81
2021-12-31,132.36,$7.18,18.43
2021-09-30,110.85,$5.41,20.49
2021-06-30,114.28,$5.00,22.86
2021-03-31,107.21,$3.73,28.74
2020-12-31,110.36,$3.76,29.35
2020-09-30,95.51,$3.63,26.31
2020-06-30,87.18,$3.86,22.59
2020-03-31,76.61,$3.75,20.43
2019-12-31,87.45,$3.43,25.5
2019-09-30,86.93,$3.70,23.49
2019-06-30,80.72,$3.55,22.74
2019-03-31,71.28,$3.49,20.42
2018-12-31,70.26,$3.43,20.48
2018-09-30,69.64,$4.44,15.68
2018-06-30,68.18,$4.27,15.97
2018-03-31,67.01,$4.19,15.99
2017-12-31,64.99,$4.24,15.33
2017-09-30,63.09,$2.75,22.94
2017-06-30,60.36,$2.70,22.34
2017-03-31,54.65,$2.60,21.04
2016-12-31,51.33,$2.37,21.62
2016-09-30,48.87,$2.44,20.01
2016-06-30,46.3,$2.42,19.12
2016-03-31,42.39,$2.33,18.16
2015-12-31,46.04,$2.28,20.21
2015-09-30,42.09,$2.13,19.78
2015-06-30,39.92,$1.94,20.62
2015-03-31,41.52,$1.82,22.84
2014-12-31,38.92,$1.71,22.73
2014-09-30,34.51,$0.84,41.18
2014-06-30,33.31,$0.86,38.65
2014-03-31,34.77,$0.89,39.07
2013-12-31,39.41,$0.81,48.89
2013-09-30,31.69,$1.52,20.79
2013-06-30,31.05,$1.50,20.73
2013-03-31,28.48,$1.47,19.38
2012-12-31,21.63,$1.50,14.38
2012-09-30,23.3,$1.50,15.56
2012-06-30,23.75,$1.50,15.84
2012-03-31,24.0,$1.44,16.69
2011-12-31,21.06,$1.38,15.24
2011-09-30,20.66,$1.30,15.84
2011-06-30,21.78,$1.20,18.12
2011-03-31,21.58,$1.15,18.83
2010-12-31,20.81,$1.07,19.45
2010-09-30,18.29,$1.03,17.79
2010-06-30,19.74,$1.01,19.63
2010-03-31,19.6,$0.93,21.12
2009-12-31,19.62,$0.85,23.02
