Trane Technologies PE Ratio Historical Data,Trane Technologies PE Ratio Historical Data,Trane Technologies PE Ratio Historical Data,Trane Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,337.92,,36.1
2024-03-31,300.2,$9.36,32.07
2023-12-31,243.18,$8.79,27.67
2023-09-30,202.31,$8.49,23.83
2023-06-30,190.69,$8.11,23.51
2023-03-31,183.43,$7.72,23.76
2022-12-31,167.59,$7.49,22.38
2022-09-30,143.84,$6.92,20.79
2022-06-30,129.0,$6.26,20.61
2022-03-31,151.68,$6.01,25.24
2021-12-31,199.81,$5.88,33.98
2021-09-30,170.23,$5.57,30.56
2021-06-30,181.03,$5.53,32.74
2021-03-31,162.24,$4.61,35.19
2020-12-31,142.25,$3.52,40.41
