Halliburton PE Ratio Historical Data,Halliburton PE Ratio Historical Data,Halliburton PE Ratio Historical Data,Halliburton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,36.11,,12.49
2024-03-31,39.42,$2.89,13.64
2023-12-31,35.98,$2.93,12.28
2023-09-30,40.12,$2.91,13.79
2023-06-30,32.55,$2.72,11.97
2023-03-31,31.06,$2.16,14.38
2022-12-31,38.46,$1.73,22.23
2022-09-30,23.98,$1.93,12.43
2022-06-30,30.42,$1.59,19.13
2022-03-31,36.63,$1.73,21.17
2021-12-31,22.04,$1.63,13.52
2021-09-30,20.8,$0.44,47.26
2021-06-30,22.19,$0.16,138.68
2021-03-31,20.56,$-2.01,0.0
2020-12-31,18.07,$-3.36,0.0
2020-09-30,11.49,$-4.97,0.0
2020-06-30,12.34,$-4.61,0.0
2020-03-31,6.49,$-2.61,0.0
2019-12-31,22.93,$-1.28,0.0
2019-09-30,17.51,$1.36,12.88
2019-06-30,20.93,$1.52,13.77
2019-03-31,26.75,$2.01,13.31
2018-12-31,24.26,$1.89,12.84
2018-09-30,36.77,$0.19,193.55
2018-06-30,40.7,$0.11,369.99
2018-03-31,42.24,$-0.44,0.0
2017-12-31,43.8,$-0.53,0.0
2017-09-30,41.09,$0.24,171.19
2017-06-30,37.95,$-0.17,0.0
2017-03-31,43.55,$-3.93,0.0
2016-12-31,47.71,$-6.70,0.0
2016-09-30,39.45,$-6.56,0.0
2016-06-30,39.65,$-6.63,0.0
2016-03-31,31.14,$-2.84,0.0
2015-12-31,29.51,$-0.79,0.0
2015-09-30,30.51,$0.30,101.7
2015-06-30,37.0,$1.77,20.91
2015-03-31,37.55,$2.62,14.33
2014-12-31,33.52,$4.11,8.15
2014-09-30,54.73,$3.98,13.75
2014-06-30,60.11,$3.36,17.89
2014-03-31,49.74,$3.18,15.64
2013-12-31,42.75,$2.43,17.59
2013-09-30,40.44,$2.22,18.22
2013-06-30,34.95,$2.08,16.8
2013-03-31,33.75,$2.14,15.77
2012-12-31,28.88,$2.84,10.17
2012-09-30,27.97,$3.10,9.02
2012-06-30,23.51,$3.19,7.37
2012-03-31,27.4,$3.20,8.56
2011-12-31,28.42,$3.08,9.23
2011-09-30,25.07,$2.76,9.08
2011-06-30,41.81,$2.62,15.96
2011-03-31,40.78,$2.35,17.35
2010-12-31,33.35,$2.02,16.51
2010-09-30,26.95,$1.63,16.53
2010-06-30,19.94,$1.32,15.11
2010-03-31,24.39,$1.08,22.59
2009-12-31,24.29,$1.27,19.12
