Westinghouse Air Brake Technologies PE Ratio Historical Data,Westinghouse Air Brake Technologies PE Ratio Historical Data,Westinghouse Air Brake Technologies PE Ratio Historical Data,Westinghouse Air Brake Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,169.7,,33.14
2024-03-31,145.51,$5.12,28.42
2023-12-31,126.57,$4.52,28.0
2023-09-30,105.84,$4.18,25.32
2023-06-30,109.06,$3.73,29.24
2023-03-31,100.32,$3.58,28.02
2022-12-31,98.91,$3.45,28.67
2022-09-30,80.5,$3.61,22.3
2022-06-30,81.1,$3.42,23.71
2022-03-31,94.85,$3.17,29.92
2021-12-31,90.7,$2.96,30.64
2021-09-30,84.79,$2.40,35.33
2021-06-30,80.83,$2.38,33.96
2021-03-31,77.64,$2.18,35.61
2020-12-31,71.68,$2.17,33.03
2020-09-30,60.49,$2.42,25.0
2020-06-30,56.18,$2.23,25.19
2020-03-31,46.87,$2.31,20.29
2019-12-31,75.64,$1.69,44.76
2019-09-30,69.76,$1.34,52.06
2019-06-30,69.55,$1.77,39.29
2019-03-31,71.33,$2.10,33.97
2018-12-31,67.86,$3.06,22.18
2018-09-30,101.17,$3.21,31.52
2018-06-30,94.99,$3.00,31.66
2018-03-31,78.34,$2.88,27.2
2017-12-31,78.23,$2.73,28.66
2017-09-30,72.66,$2.64,27.52
2017-06-30,87.63,$2.85,30.75
2017-03-31,74.61,$3.10,24.07
2016-12-31,79.31,$3.35,23.68
2016-09-30,77.91,$3.98,19.58
2016-06-30,66.92,$4.09,16.36
2016-03-31,75.48,$4.13,18.28
2015-12-31,67.62,$4.10,16.49
2015-09-30,83.63,$4.00,20.91
2015-06-30,89.43,$3.91,22.87
2015-03-31,90.11,$3.78,23.84
2014-12-31,82.35,$3.62,22.75
2014-09-30,76.76,$3.43,22.38
2014-06-30,78.17,$3.26,23.98
2014-03-31,73.31,$3.12,23.5
2013-12-31,70.22,$3.01,23.33
2013-09-30,59.4,$2.92,20.34
2013-06-30,50.45,$2.81,17.95
2013-03-31,48.19,$2.71,17.81
2012-12-31,41.29,$2.60,15.91
2012-09-30,37.85,$2.41,15.74
2012-06-30,36.75,$2.24,16.44
2012-03-31,35.49,$1.95,18.25
2011-12-31,32.92,$1.76,18.71
2011-09-30,24.87,$1.60,15.55
2011-06-30,30.9,$1.44,21.53
2011-03-31,31.89,$1.39,23.03
2010-12-31,24.86,$1.28,19.5
2010-09-30,22.46,$1.21,18.64
2010-06-30,18.74,$1.18,15.95
2010-03-31,19.79,$1.17,16.91
2009-12-31,19.18,$1.20,16.05
