Uber Technologies PE Ratio Historical Data,Uber Technologies PE Ratio Historical Data,Uber Technologies PE Ratio Historical Data,Uber Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,64.26,,103.65
2024-03-31,76.99,$0.62,124.18
2023-12-31,61.57,$0.86,71.59
2023-09-30,45.99,$0.49,93.86
2023-06-30,43.17,$-0.22,0.0
2023-03-31,31.7,$-1.73,0.0
2022-12-31,24.73,$-4.69,0.0
2022-09-30,26.5,$-4.54,0.0
2022-06-30,20.46,$-5.21,0.0
2022-03-31,35.68,$-3.30,0.0
2021-12-31,41.93,$-0.32,0.0
2021-09-30,44.8,$-1.30,0.0
2021-06-30,50.12,$-0.64,0.0
2021-03-31,54.51,$-2.24,0.0
2020-12-31,51.0,$-3.88,0.0
2020-09-30,36.48,$-3.98,0.0
2020-06-30,31.08,$-4.04,0.0
2020-03-31,27.92,$-7.74,0.0
