NetApp PE Ratio Historical Data,NetApp PE Ratio Historical Data,NetApp PE Ratio Historical Data,NetApp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,115.67,,26.29
2024-01-31,86.79,$4.40,19.72
2023-10-31,72.02,$3.22,22.37
2023-07-31,76.68,$5.53,13.87
2023-04-30,61.42,$5.80,10.59
2023-01-31,64.17,$5.81,11.04
2022-10-31,66.57,$6.61,10.07
2022-07-31,68.04,$4.18,16.28
2022-04-30,69.34,$4.10,16.91
2022-01-31,81.37,$4.42,18.41
2021-10-31,83.55,$4.12,20.28
2021-07-31,74.06,$3.75,19.75
2021-04-30,69.07,$3.22,21.45
2021-01-31,61.05,$2.64,23.12
2020-10-31,40.03,$3.05,13.13
2020-07-31,39.99,$3.47,11.53
2020-04-30,39.07,$4.71,8.3
2020-01-31,47.09,$4.81,9.79
2019-10-31,48.91,$4.51,10.84
2019-04-30,62.69,$4.53,13.84
2019-01-31,54.57,$3.93,13.89
2018-10-31,66.7,$3.37,19.79
2018-07-31,65.57,$0.57,115.03
2018-04-30,56.02,$0.16,350.15
2019-07-31,50.72,$-0.34,0.0
2018-01-31,51.59,$-0.08,0.0
2017-10-31,37.13,$2.33,15.94
2017-07-31,36.13,$1.92,18.82
2017-04-30,33.0,$1.40,23.57
2017-01-31,31.58,$1.24,25.47
2016-07-31,21.48,$1.11,19.36
2016-04-30,19.13,$0.78,24.53
2016-01-31,17.63,$1.24,14.22
2015-10-31,27.13,$1.10,24.67
2015-07-31,24.72,$1.27,19.46
2015-04-30,28.6,$1.86,15.37
2016-10-31,27.82,$1.70,16.37
2015-01-31,29.68,$1.91,15.54
2014-10-31,33.47,$1.90,17.62
2014-07-31,30.25,$1.89,16.0
2014-04-30,27.61,$1.85,14.92
2014-01-31,32.69,$1.73,18.9
2013-10-31,29.86,$1.61,18.55
2013-07-31,31.52,$1.43,22.04
2013-04-30,26.64,$1.37,19.45
2013-01-31,27.49,$1.37,20.06
2012-10-31,20.55,$1.26,16.31
2012-07-31,24.95,$1.40,17.82
2012-04-30,29.65,$1.57,18.88
2012-01-31,28.82,$1.50,19.21
2011-10-31,31.28,$1.56,20.05
2011-07-31,36.28,$1.52,23.87
2011-04-30,39.79,$1.48,26.88
2010-07-31,32.3,$1.35,23.92
2010-04-30,26.47,$1.12,23.64
2010-01-31,22.24,$0.95,23.41
2009-10-31,20.65,$1.07,19.3
2009-07-31,17.15,$0.57,30.09
2009-04-30,13.97,$0.84,16.63
