DuPont De Nemours PE Ratio Historical Data,DuPont De Nemours PE Ratio Historical Data,DuPont De Nemours PE Ratio Historical Data,DuPont De Nemours PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,81.12,,98.93
2024-03-31,76.67,$0.82,93.5
2023-12-31,76.51,$0.93,82.27
2023-09-30,73.81,$9.67,7.63
2023-06-30,70.37,$9.70,7.25
2023-03-31,70.32,$11.53,6.1
2022-12-31,66.92,$11.92,5.61
2022-09-30,48.91,$3.62,13.51
2022-06-30,53.64,$3.64,14.74
2022-03-31,70.67,$2.99,23.64
2021-12-31,77.26,$10.94,7.06
2021-09-30,64.78,$10.85,5.97
2021-06-30,73.46,$9.99,7.35
2021-03-31,73.08,$5.72,12.78
2020-12-31,66.96,$-4.01,0.0
2020-09-30,52.0,$-4.07,0.0
2020-06-30,49.52,$-3.46,0.0
2020-03-31,31.6,$-0.85,0.0
2019-12-31,59.09,$0.67,88.18
2019-09-30,65.34,$1.06,61.63
2019-06-30,68.5,$1.19,57.55
2019-03-31,69.16,$4.23,16.35
2018-12-31,68.9,$4.95,13.92
2018-09-30,82.85,$2.70,30.68
2018-06-30,84.47,$3.03,27.88
