Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data,Phillips 66 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,142.68,,10.98
2024-03-31,162.07,$13.00,12.47
2023-12-31,131.15,$15.47,8.48
2023-09-30,117.27,$16.58,7.07
2023-06-30,92.24,$23.05,4.0
2023-03-31,96.97,$25.86,3.75
2022-12-31,98.51,$22.95,4.29
2022-09-30,75.72,$21.86,3.46
2022-06-30,76.09,$11.61,6.55
2022-03-31,79.35,$5.74,13.82
2021-12-31,65.85,$3.22,20.45
2021-09-30,62.89,$-1.48,0.0
2021-06-30,76.09,$-2.72,0.0
2020-12-31,60.69,$-9.04,0.0
2020-09-30,44.35,$-6.17,0.0
2020-06-30,60.63,$-5.84,0.0
2020-03-31,44.67,$-3.93,0.0
2019-12-31,91.85,$4.85,18.94
2021-03-31,71.53,$3.65,19.6
2019-09-30,83.78,$9.96,8.41
2019-06-30,75.84,$11.56,6.56
2019-03-31,76.35,$11.28,6.77
2018-12-31,68.55,$11.91,5.76
2018-09-30,88.95,$13.34,6.67
2018-06-30,88.02,$11.76,7.48
2018-03-31,74.68,$9.98,7.48
2017-12-31,78.16,$9.93,7.87
2017-09-30,70.25,$3.99,17.61
2017-06-30,62.88,$3.35,18.77
2017-03-31,59.71,$3.22,18.54
2016-12-31,64.61,$2.92,22.13
2016-09-30,59.78,$3.81,15.69
2016-06-30,58.41,$5.75,10.16
2016-03-31,63.24,$6.66,9.5
2015-12-31,59.29,$7.73,7.67
2015-09-30,55.36,$8.58,6.45
2015-06-30,57.65,$7.77,7.42
2015-03-31,55.86,$7.44,7.51
2014-12-31,50.62,$8.32,6.08
2014-09-30,57.01,$7.64,7.46
2014-06-30,56.06,$6.42,8.73
2014-03-31,53.38,$6.44,8.29
2013-12-31,53.16,$6.00,8.86
2013-09-30,39.61,$5.74,6.9
2013-06-30,40.14,$7.38,5.44
2013-03-31,47.45,$7.71,6.15
