American Water Works PE Ratio Historical Data,American Water Works PE Ratio Historical Data,American Water Works PE Ratio Historical Data,American Water Works PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,128.23,,26.22
2023-12-31,130.48,$4.89,26.68
2023-09-30,121.71,$4.82,25.25
2023-06-30,139.61,$4.11,33.97
2023-03-31,142.58,$4.30,33.16
2022-12-31,147.74,$4.59,32.19
2024-03-31,121.52,$4.65,26.13
2022-09-30,125.56,$7.25,17.32
2022-06-30,142.91,$7.15,19.99
2022-03-31,158.3,$7.09,22.33
2021-12-31,179.92,$6.95,25.89
2021-09-30,160.47,$4.20,38.21
2021-06-30,145.82,$4.13,35.31
2021-03-31,141.29,$3.96,35.68
2020-12-31,144.15,$3.91,36.87
2020-09-30,135.62,$3.65,37.16
2020-06-30,119.98,$3.52,34.08
2020-03-31,110.98,$3.49,31.8
2019-12-31,113.61,$3.43,33.12
2019-09-30,114.4,$3.51,32.59
2019-06-30,106.37,$3.22,33.04
2019-03-31,95.17,$3.19,29.83
2018-12-31,82.46,$3.16,26.1
2018-09-30,79.51,$2.53,31.43
2018-06-30,76.77,$2.62,29.3
2018-03-31,73.45,$2.44,30.1
2017-12-31,81.39,$2.37,34.34
2017-09-30,71.65,$2.95,24.29
2017-06-30,68.68,$2.65,25.92
2017-03-31,68.16,$2.69,25.34
2016-12-31,63.09,$2.72,23.19
2016-09-30,64.91,$3.11,20.87
2016-06-30,72.95,$2.96,24.65
2015-12-31,51.05,$2.63,19.41
2015-09-30,46.78,$2.60,17.99
2015-06-30,41.03,$2.49,16.48
2015-03-31,45.45,$2.42,18.78
2014-12-31,44.44,$2.36,18.83
2014-09-30,39.98,$2.17,18.42
2014-06-30,40.72,$2.16,18.85
2014-03-31,37.14,$2.12,17.52
2013-12-31,34.34,$2.06,16.67
2013-09-30,33.33,$2.04,16.34
2013-06-30,33.06,$2.06,16.05
2013-03-31,33.01,$2.09,15.79
2012-12-31,29.58,$2.01,14.71
2012-09-30,29.13,$2.07,14.07
2012-06-30,26.75,$1.99,13.44
2012-03-31,26.37,$1.87,14.1
2011-12-31,24.52,$1.90,12.91
2011-09-30,23.06,$1.76,13.1
2011-06-30,22.31,$1.69,13.2
2011-03-31,21.09,$1.63,12.94
2010-12-31,18.86,$1.54,12.25
2010-09-30,17.2,$1.52,11.31
2010-06-30,15.07,$1.33,11.33
2010-03-31,15.77,$1.23,12.82
2009-12-31,16.08,$-1.53,0.0
2009-09-30,14.17,$-1.28,0.0
