Delta Air Lines PE Ratio Historical Data,Delta Air Lines PE Ratio Historical Data,Delta Air Lines PE Ratio Historical Data,Delta Air Lines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,51.84,,6.66
2024-03-31,47.78,$7.78,6.14
2023-12-31,40.06,$7.15,5.6
2023-09-30,36.74,$5.28,6.96
2023-06-30,47.1,$4.64,10.15
2023-03-31,34.6,$2.95,11.73
2022-12-31,32.56,$2.04,15.96
2022-09-30,27.8,$0.11,252.75
2022-06-30,28.7,$0.92,31.2
2022-03-31,39.21,$0.79,49.63
2021-12-31,38.72,$0.42,92.2
2021-09-30,42.22,$-0.13,0.0
2021-06-30,42.86,$-10.49,0.0
2021-03-31,47.84,$-20.52,0.0
2020-12-31,39.84,$-19.51,0.0
2020-09-30,30.3,$-16.61,0.0
2020-06-30,27.79,$-5.83,0.0
2020-03-31,28.27,$5.39,5.24
2019-12-31,57.55,$7.32,7.86
2019-09-30,56.26,$7.10,7.92
2019-06-30,55.08,$6.70,8.22
2019-03-31,49.83,$5.96,8.36
2018-12-31,47.8,$5.64,8.48
2018-09-30,55.05,$4.95,11.12
2018-06-30,46.84,$4.68,10.01
2018-03-31,51.52,$4.89,10.54
2017-12-31,52.34,$4.96,10.55
2017-09-30,44.79,$5.85,7.66
2017-06-30,49.61,$6.24,7.95
2016-12-31,45.03,$5.77,7.8
2016-09-30,35.87,$6.18,5.8
2016-06-30,33.02,$5.31,6.22
2016-03-31,43.98,$4.93,8.92
2015-12-31,45.65,$5.55,8.23
2017-03-31,42.24,$5.20,8.12
2015-09-30,40.3,$3.52,11.45
2015-06-30,36.79,$2.29,16.07
2015-03-31,40.19,$1.40,28.7
2014-12-31,43.88,$0.75,58.51
2014-09-30,32.18,$11.50,2.8
2014-06-30,34.38,$12.67,2.71
2014-03-31,30.72,$12.53,2.45
2013-12-31,24.3,$12.29,1.98
2013-09-30,20.83,$2.41,8.64
2013-06-30,16.47,$2.05,8.03
2013-03-31,14.53,$1.05,13.84
2012-12-31,10.45,$1.19,8.78
2012-09-30,8.06,$1.68,4.8
2012-06-30,9.64,$1.10,8.76
2012-03-31,8.73,$1.53,5.7
2011-12-31,7.12,$1.00,7.12
2011-09-30,6.6,$0.52,12.7
2011-06-30,8.07,$0.30,26.91
2011-03-31,8.63,$0.63,13.69
2010-12-31,11.09,$0.70,15.85
2010-09-30,10.25,$0.65,15.76
2010-06-30,10.34,$0.03,344.8
2010-03-31,12.84,$-0.84,0.0
2009-12-31,10.02,$-1.49,0.0
