Atmos Energy PE Ratio Historical Data,Atmos Energy PE Ratio Historical Data,Atmos Energy PE Ratio Historical Data,Atmos Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,112.61,,16.88
2024-03-31,118.03,$6.67,17.7
2023-12-31,114.26,$6.30,18.14
2023-09-30,103.69,$6.13,16.91
2023-06-30,113.16,$5.84,19.38
2023-03-31,108.6,$5.82,18.66
2022-12-31,107.63,$5.71,18.85
2022-09-30,97.21,$5.66,17.18
2022-06-30,106.38,$5.52,19.27
2022-03-31,112.71,$5.38,20.95
2021-12-31,98.2,$5.31,18.49
2021-09-30,82.07,$5.16,15.91
2021-06-30,88.87,$5.32,16.7
2021-03-31,90.82,$5.50,16.51
2020-12-31,87.1,$5.15,16.91
2020-09-30,86.69,$4.91,17.66
2020-06-30,89.79,$4.87,18.44
2020-03-31,88.96,$4.59,19.38
2019-12-31,99.8,$4.46,22.38
2019-09-30,101.07,$4.37,23.13
2019-06-30,93.22,$4.23,22.04
2019-03-31,90.44,$4.19,21.58
2018-12-31,81.04,$3.97,20.41
2018-09-30,81.64,$5.48,14.9
2018-06-30,77.95,$5.47,14.25
2018-03-31,72.44,$5.50,13.17
2017-12-31,73.42,$5.45,13.47
2017-09-30,71.28,$3.75,19.01
2017-06-30,70.16,$3.74,18.76
2017-03-31,66.44,$3.76,17.67
2016-12-31,62.01,$3.59,17.27
2016-09-30,61.89,$2.63,23.53
2016-06-30,67.21,$2.85,23.58
2016-03-31,61.02,$3.51,17.38
2015-09-30,47.21,$3.09,15.28
2015-06-30,41.32,$3.09,13.37
2015-03-31,44.24,$3.54,12.5
2014-12-31,44.27,$2.64,16.77
2014-09-30,37.6,$3.06,12.29
2015-12-31,51.5,$3.78,13.62
2014-06-30,41.79,$2.86,14.61
2014-03-31,36.61,$2.83,12.94
2013-12-31,35.0,$2.72,12.87
2013-09-30,32.55,$2.65,12.28
2013-06-30,31.12,$2.66,11.7
2013-03-31,32.1,$2.58,12.44
2012-12-31,26.17,$2.51,10.42
2012-09-30,26.4,$2.38,11.09
2012-06-30,25.61,$2.31,11.09
2012-03-31,22.73,$1.96,11.6
2011-12-31,23.83,$2.21,10.78
2011-09-30,22.95,$2.27,10.11
2011-06-30,23.27,$2.27,10.25
2011-03-31,23.62,$2.25,10.5
2010-12-31,21.39,$2.03,10.54
2010-09-30,19.83,$2.22,8.93
2010-06-30,18.12,$2.03,8.92
2010-03-31,18.9,$2.08,9.09
2009-12-31,19.21,$2.26,8.5
