General Motors PE Ratio Historical Data,General Motors PE Ratio Historical Data,General Motors PE Ratio Historical Data,General Motors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,44.11,,5.39
2024-03-31,45.35,$8.18,5.54
2023-12-31,35.82,$7.31,4.9
2023-09-30,32.78,$7.11,4.61
2023-06-30,38.24,$7.16,5.34
2023-03-31,36.27,$6.47,5.61
2022-12-31,33.19,$5.94,5.59
2022-09-30,31.59,$6.17,5.12
2022-06-30,31.19,$5.82,5.36
2021-12-31,57.59,$6.71,8.58
2021-09-30,51.77,$7.48,6.92
2021-06-30,58.12,$7.21,8.06
2021-03-31,56.44,$8.09,6.98
2020-12-31,40.9,$5.50,7.44
2022-03-31,42.96,$3.74,11.49
2020-09-30,29.06,$2.23,13.03
2020-06-30,24.85,$1.05,23.67
2020-03-31,20.41,$3.27,6.24
2019-12-31,35.5,$4.58,7.75
2019-09-30,35.97,$6.14,5.86
2019-06-30,36.61,$6.29,5.82
2019-03-31,34.88,$6.29,5.55
2018-12-31,31.14,$5.53,5.63
2018-09-30,31.01,$0.48,64.61
2018-06-30,35.89,$-3.30,0.0
2018-03-31,32.82,$-3.87,0.0
2017-12-31,36.65,$-2.89,0.0
2017-09-30,35.78,$1.95,18.35
2017-06-30,30.64,$5.74,5.34
2017-03-31,30.68,$6.46,4.75
2016-12-31,29.92,$6.00,4.99
2016-09-30,26.99,$8.73,3.09
2016-06-30,23.76,$7.81,3.04
2016-03-31,26.05,$6.67,3.91
2015-12-31,27.84,$5.99,4.65
2015-09-30,24.33,$2.73,8.91
2015-06-30,26.69,$2.70,9.89
2015-03-31,29.72,$2.14,13.89
2014-12-31,27.45,$1.64,16.74
2014-09-30,24.89,$1.55,16.06
2014-06-30,28.03,$1.19,23.56
2014-03-31,26.36,$1.83,14.41
2013-12-31,31.03,$2.35,13.21
2013-09-30,27.31,$2.32,11.77
2013-06-30,25.29,$2.76,9.16
2013-03-31,21.12,$2.91,7.26
2012-12-31,21.89,$2.93,7.47
2012-09-30,17.27,$2.67,6.47
2012-06-30,14.97,$2.81,5.33
2012-03-31,19.48,$3.45,5.65
2011-12-31,15.39,$3.16,4.87
2011-09-30,15.32,$4.65,3.3
