Iron Mountain PE Ratio Historical Data,Iron Mountain PE Ratio Historical Data,Iron Mountain PE Ratio Historical Data,Iron Mountain PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,80.23,,121.56
2024-03-31,80.21,$0.66,121.53
2023-12-31,69.4,$0.63,110.16
2023-09-30,58.4,$0.95,61.48
2023-06-30,55.26,$1.30,42.51
2023-03-31,50.9,$1.98,25.71
2022-12-31,47.4,$1.90,24.95
2022-09-30,41.34,$1.69,24.46
2022-06-30,45.26,$1.26,35.92
2022-03-31,50.84,$1.53,33.23
2021-12-31,47.41,$1.55,30.59
2021-09-30,38.86,$2.20,17.67
2021-06-30,37.35,$2.10,17.78
2021-03-31,32.23,$1.13,28.52
2020-12-31,25.25,$1.10,22.95
2020-09-30,22.47,$0.61,36.83
2020-06-30,21.43,$0.80,26.79
2019-12-31,25.06,$0.92,27.24
2019-09-30,24.98,$1.34,18.65
2019-06-30,23.7,$1.20,19.75
2019-03-31,26.34,$1.21,21.77
2018-12-31,23.66,$1.27,18.63
2018-09-30,24.77,$0.80,30.96
2018-06-30,24.71,$0.66,37.44
2018-03-31,22.8,$0.63,36.19
2017-12-31,25.72,$0.69,37.28
2017-09-30,26.12,$0.80,32.64
2017-06-30,22.75,$0.74,30.74
2017-03-31,23.24,$0.38,61.16
2016-12-31,20.83,$0.38,54.81
2016-09-30,23.67,$0.49,48.31
2016-06-30,24.81,$0.49,50.63
2020-03-31,19.12,$0.66,28.97
2016-03-31,20.84,$0.69,30.21
2015-12-31,16.34,$0.58,28.17
2015-09-30,18.45,$0.61,30.24
2015-06-30,18.13,$0.50,36.26
2015-03-31,21.02,$1.65,12.74
2014-12-31,21.99,$1.68,13.09
2014-09-30,18.57,$1.87,9.93
2014-06-30,20.16,$1.89,10.67
2014-03-31,15.68,$0.63,24.89
2013-12-31,17.26,$0.51,33.85
2013-09-30,15.23,$0.40,38.09
2013-06-30,14.86,$0.69,21.54
2013-03-31,20.08,$0.77,26.07
2012-12-31,17.04,$0.99,17.21
2012-09-30,16.57,$1.03,16.09
2012-06-30,15.88,$0.91,17.45
2012-03-31,13.77,$1.93,7.13
2011-12-31,14.6,$1.77,8.25
2011-09-30,14.86,$0.83,17.91
2011-06-30,15.9,$0.84,18.93
2010-12-31,11.51,$-0.28,0.0
2010-09-30,10.2,$-0.14,0.0
2010-06-30,10.23,$0.99,10.33
2010-03-31,12.45,$1.00,12.45
2009-12-31,10.31,$1.31,7.87
2011-03-31,14.46,$1.15,12.57
