U.S Bancorp PE Ratio Historical Data,U.S Bancorp PE Ratio Historical Data,U.S Bancorp PE Ratio Historical Data,U.S Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,40.53,,13.42
2024-03-31,44.7,$3.02,14.8
2023-12-31,42.8,$3.28,13.05
2023-09-30,32.33,$3.36,9.62
2023-06-30,31.84,$3.61,8.82
2023-03-31,34.24,$3.76,9.11
2022-12-31,40.87,$3.71,11.02
2022-09-30,37.37,$4.21,8.88
2022-06-30,42.16,$4.35,9.69
2022-03-31,48.21,$4.64,10.39
2021-12-31,50.53,$5.10,9.91
2021-09-30,53.04,$4.98,10.65
2021-06-30,50.45,$4.67,10.8
2021-03-31,48.62,$3.80,12.79
2020-12-31,40.65,$3.07,13.24
2020-09-30,31.0,$3.02,10.26
2020-06-30,31.46,$3.18,9.89
2020-03-31,29.1,$3.86,7.54
2019-12-31,49.5,$4.14,11.96
2019-09-30,45.88,$4.34,10.57
2019-06-30,43.11,$4.25,10.14
2019-03-31,39.37,$4.18,9.42
2018-12-31,37.05,$4.14,8.95
2018-09-30,42.47,$4.01,10.59
2018-06-30,39.94,$3.83,10.43
2018-03-31,40.08,$3.66,10.95
2017-12-31,42.28,$3.52,12.01
2017-09-30,42.05,$3.37,12.48
2017-06-30,40.51,$3.33,12.17
2017-03-31,39.97,$3.31,12.08
2016-12-31,39.65,$3.25,12.2
2016-09-30,32.93,$3.23,10.19
2016-06-30,30.76,$3.20,9.61
2016-03-31,30.76,$3.17,9.7
2015-12-31,32.13,$3.17,10.14
2015-09-30,30.7,$3.16,9.72
2015-06-30,32.29,$3.13,10.32
2015-03-31,32.31,$3.11,10.39
2014-12-31,33.06,$3.08,10.73
2014-09-30,30.6,$3.05,10.03
2014-06-30,31.51,$3.03,10.4
2014-03-31,31.0,$3.01,10.3
2013-12-31,29.06,$3.01,9.65
2013-09-30,26.16,$2.97,8.81
2013-06-30,25.7,$2.95,8.71
2013-03-31,23.96,$2.90,8.26
2012-12-31,22.43,$2.84,7.9
2012-09-30,23.94,$2.81,8.52
2012-06-30,22.32,$2.71,8.24
2012-03-31,21.85,$2.60,8.4
2011-12-31,18.54,$2.45,7.57
2011-09-30,16.06,$2.25,7.14
2011-06-30,17.31,$2.06,8.4
2011-03-31,17.85,$1.91,9.34
2010-12-31,18.13,$1.73,10.48
2010-09-30,14.5,$1.54,9.42
2010-06-30,14.96,$1.39,10.76
2010-03-31,17.29,$1.06,16.31
2009-12-31,15.01,$0.96,15.63
