Boston Properties PE Ratio Historical Data,Boston Properties PE Ratio Historical Data,Boston Properties PE Ratio Historical Data,Boston Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,59.31,,48.61
2024-03-31,65.31,$1.22,53.53
2023-12-31,69.1,$1.21,57.11
2023-09-30,57.78,$1.23,46.98
2023-06-30,55.04,$4.23,13.01
2023-03-31,50.85,$4.99,10.19
2022-12-31,62.35,$5.40,11.55
2022-09-30,68.18,$5.80,11.75
2022-06-30,79.87,$4.20,19.02
2022-03-31,114.37,$3.49,32.77
2021-12-31,101.51,$3.17,32.02
2021-09-30,94.69,$2.04,46.42
2021-06-30,99.27,$1.93,51.43
2021-03-31,86.97,$2.93,29.68
2020-12-31,80.43,$5.54,14.52
2020-09-30,67.61,$6.40,10.56
2020-06-30,75.18,$6.52,11.53
2020-03-31,75.89,$5.87,12.93
2019-12-31,112.26,$3.30,34.02
2019-09-30,104.83,$3.35,31.29
2019-06-30,103.54,$3.42,30.27
2019-03-31,106.67,$3.19,33.44
2018-12-31,89.04,$3.70,24.06
2018-09-30,96.56,$3.41,28.32
2018-06-30,97.62,$3.40,28.71
2018-03-31,95.29,$3.44,27.7
2017-12-31,99.91,$2.93,34.1
2017-09-30,93.84,$3.20,29.32
2017-06-30,93.37,$2.94,31.76
2017-03-31,99.89,$2.70,37.0
2016-12-31,94.35,$3.25,29.03
2016-09-30,101.61,$3.21,31.65
2016-06-30,97.88,$3.91,25.03
2016-03-31,93.83,$3.80,24.69
2015-12-31,93.69,$3.73,25.12
2015-09-30,85.72,$3.97,21.59
2015-06-30,87.14,$3.60,24.2
2015-03-31,100.6,$3.58,28.1
2014-12-31,91.73,$2.82,32.53
2014-09-30,79.39,$2.26,35.13
2014-06-30,80.59,$2.43,33.17
2014-03-31,77.67,$4.87,15.95
2013-12-31,67.68,$4.83,14.01
2013-09-30,70.06,$4.68,14.97
2013-06-30,68.71,$4.06,16.92
2013-03-31,65.42,$1.91,34.25
2012-12-31,68.06,$2.03,33.53
2012-09-30,70.71,$2.29,30.88
2012-06-30,68.94,$2.39,28.84
2012-03-31,66.43,$2.01,33.05
2011-12-31,62.69,$1.87,33.53
2011-09-30,55.77,$1.09,51.17
2011-06-30,66.09,$1.02,64.79
2011-03-31,58.77,$1.05,55.97
2010-12-31,53.06,$1.14,46.55
2010-09-30,50.93,$1.61,31.63
2010-06-30,43.46,$1.67,26.02
2010-03-31,45.65,$1.76,25.94
2009-12-31,40.32,$1.75,23.04
