International Paper PE Ratio Historical Data,International Paper PE Ratio Historical Data,International Paper PE Ratio Historical Data,International Paper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,45.46,,92.78
2024-03-31,38.62,$0.49,78.81
2023-12-31,35.31,$0.82,43.06
2023-09-30,34.17,$0.74,46.18
2023-06-30,30.24,$2.91,10.39
2023-03-31,33.77,$3.61,9.35
2022-12-31,32.05,$4.07,7.87
2022-09-30,28.97,$5.25,5.52
2022-06-30,37.83,$4.81,7.86
2022-03-31,41.34,$4.52,9.15
2021-12-31,41.67,$4.45,9.36
2021-09-30,49.14,$4.56,10.78
2021-06-30,53.41,$2.88,18.55
2021-03-31,46.73,$2.46,18.99
2020-12-31,42.52,$1.22,34.85
2020-09-30,34.3,$1.25,27.44
2020-06-30,29.38,$1.60,18.36
2020-03-31,25.59,$1.66,15.42
2019-12-31,37.41,$3.07,12.19
2019-09-30,33.6,$3.43,9.79
2019-06-30,34.8,$3.93,8.86
2019-03-31,36.74,$4.17,8.81
2018-12-31,31.72,$4.86,6.53
2018-09-30,38.21,$7.58,5.04
2018-06-30,40.12,$7.16,5.6
2018-03-31,40.8,$6.38,6.4
2017-12-31,43.88,$5.14,8.54
2017-09-30,42.66,$2.17,19.66
2017-06-30,42.14,$1.97,21.39
2017-03-31,37.46,$1.88,19.93
2016-12-31,38.81,$2.19,17.72
2016-09-30,34.74,$2.09,16.62
2016-06-30,30.4,$1.87,16.26
2016-03-31,29.13,$2.31,12.61
2015-12-31,26.41,$2.24,11.79
2015-09-30,26.19,$2.13,12.3
2015-06-30,32.7,$2.43,13.46
2015-03-31,37.85,$2.26,16.75
2014-12-31,36.28,$1.31,27.7
2014-09-30,32.09,$1.97,16.29
2014-06-30,33.21,$1.99,16.69
2014-03-31,29.96,$2.19,13.68
2013-12-31,31.79,$3.11,10.22
2013-09-30,28.82,$2.66,10.84
2013-06-30,28.33,$2.35,12.06
2013-03-31,29.59,$2.09,14.16
2012-12-31,25.13,$1.81,13.88
2012-09-30,22.71,$1.87,12.14
2012-06-30,17.94,$2.52,7.12
2012-03-31,21.59,$2.73,7.91
2011-12-31,18.06,$3.08,5.86
2011-09-30,14.06,$3.22,4.37
2011-06-30,17.84,$2.94,6.07
2011-03-31,17.91,$2.63,6.81
2010-12-31,16.06,$1.47,10.93
2010-09-30,12.76,$0.50,25.53
2010-06-30,13.2,$0.46,28.71
2010-03-31,14.29,$0.57,25.06
2009-12-31,15.53,$1.56,9.95
