Humana PE Ratio Historical Data,Humana PE Ratio Historical Data,Humana PE Ratio Historical Data,Humana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,349.3,,21.75
2024-03-31,346.72,$16.06,21.59
2023-12-31,456.65,$19.82,23.04
2023-09-30,484.35,$24.12,20.08
2023-06-30,444.34,$26.80,16.58
2023-03-31,481.47,$24.62,19.56
2022-12-31,507.06,$22.04,23.01
2022-09-30,479.6,$22.05,21.75
2022-06-30,461.94,$24.50,18.85
2022-03-31,428.75,$23.57,18.19
2021-12-31,456.19,$22.67,20.12
2021-09-30,382.15,$20.71,18.45
2021-06-30,433.98,$18.92,22.94
2021-03-31,410.33,$28.12,14.59
2020-12-31,400.88,$25.29,15.85
2020-09-30,403.79,$31.20,12.94
2020-06-30,377.7,$26.29,14.37
2020-03-31,305.38,$19.48,15.68
2019-12-31,355.72,$20.08,17.72
2019-09-30,247.77,$18.82,13.17
2019-06-30,256.55,$18.33,14.0
2019-03-31,256.7,$12.78,20.09
2018-12-31,275.88,$12.15,22.71
2018-09-30,325.42,$10.86,29.96
2018-06-30,285.69,$9.65,29.6
2018-03-31,257.61,$12.72,20.25
2017-12-31,237.27,$16.68,14.22
2017-09-30,232.65,$12.71,18.3
2017-06-30,229.4,$12.25,18.73
2017-03-31,196.2,$9.85,19.92
2016-12-31,193.53,$3.92,49.37
2016-09-30,167.52,$7.27,23.04
2016-06-30,170.35,$6.38,26.7
2016-03-31,172.98,$7.17,24.13
2015-12-31,168.52,$8.43,19.99
2015-09-30,168.71,$8.70,19.39
2015-06-30,179.98,$8.46,21.27
2015-03-31,167.26,$7.80,21.44
2014-12-31,134.73,$7.33,18.38
2014-09-30,121.98,$6.20,19.67
2014-06-30,119.32,$6.66,17.92
2014-03-31,105.08,$7.10,14.8
2013-12-31,95.99,$7.70,12.47
2013-09-30,86.57,$9.08,9.53
2013-06-30,78.04,$9.39,8.31
2013-03-31,63.71,$8.92,7.14
2012-12-31,63.03,$7.46,8.45
2012-09-30,64.18,$7.47,8.59
2012-06-30,70.58,$7.52,9.39
2012-03-31,84.02,$8.07,10.41
2011-12-31,79.37,$8.44,9.4
2011-09-30,65.7,$7.87,8.35
2011-06-30,72.52,$7.52,9.64
2011-03-31,62.78,$6.81,9.22
2010-12-31,49.14,$6.47,7.59
2010-09-30,45.1,$7.32,6.16
2010-06-30,41.0,$6.78,6.05
2010-03-31,41.98,$6.45,6.51
2009-12-31,39.4,$6.15,6.41
