Lamb Weston PE Ratio Historical Data,Lamb Weston PE Ratio Historical Data,Lamb Weston PE Ratio Historical Data,Lamb Weston PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,89.21,,12.56
2024-02-29,101.78,$7.10,14.33
2023-11-30,99.27,$6.80,14.6
2023-05-31,109.72,$6.92,15.86
2023-02-28,99.05,$3.74,26.48
2022-11-30,85.28,$4.13,20.65
2022-08-31,77.83,$4.15,18.75
2022-05-31,65.93,$2.77,23.8
2023-08-31,96.38,$2.75,35.05
2022-02-28,64.56,$1.59,40.6
2021-11-30,50.27,$1.31,38.37
2021-08-31,62.81,$1.75,35.89
2021-05-31,79.24,$2.16,36.68
2021-02-28,76.4,$1.71,44.68
2020-11-30,69.11,$2.02,34.21
2020-08-31,59.81,$2.31,25.89
2020-05-31,56.95,$2.49,22.87
2020-02-29,82.05,$3.25,25.25
2019-11-30,79.1,$3.44,23.0
2019-08-31,66.13,$3.23,20.47
2019-05-31,55.5,$3.17,17.51
2019-02-28,64.73,$3.10,20.88
2018-11-30,71.43,$3.21,22.25
2018-08-31,62.8,$2.99,21.0
2018-05-31,59.07,$2.82,20.95
2018-02-28,49.97,$2.65,18.86
2017-11-30,50.06,$2.16,23.18
2017-08-31,41.72,$2.23,18.71
