FirstEnergy PE Ratio Historical Data,FirstEnergy PE Ratio Historical Data,FirstEnergy PE Ratio Historical Data,FirstEnergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,38.97,,22.4
2024-03-31,38.2,$1.74,21.96
2023-12-31,35.85,$1.81,19.81
2023-09-30,33.05,$0.80,41.31
2023-06-30,37.2,$0.79,47.08
2023-03-31,37.95,$0.71,53.44
2022-12-31,39.34,$0.71,55.41
2022-09-30,34.35,$2.19,15.69
2022-06-30,35.29,$2.46,14.34
2022-03-31,41.77,$2.24,18.65
2021-12-31,37.53,$2.35,15.97
2021-09-30,31.82,$2.03,15.68
2021-06-30,32.9,$2.02,16.29
2021-03-31,30.36,$2.48,12.24
2020-12-31,26.47,$2.00,13.23
2020-09-30,24.5,$1.35,18.15
2020-06-30,32.66,$1.24,26.34
2020-03-31,33.42,$1.25,26.73
2019-12-31,40.23,$1.70,23.66
2019-09-30,39.6,$2.15,18.42
2019-06-30,34.85,$0.40,87.11
2019-03-31,33.56,$0.10,335.64
2018-12-31,29.99,$2.05,14.63
2018-09-30,29.41,$-3.82,0.0
2018-06-30,28.13,$-1.91,0.0
2018-03-31,26.37,$-1.80,0.0
2017-12-31,23.46,$-3.88,0.0
2017-09-30,23.37,$-11.70,0.0
2017-06-30,21.86,$-11.70,0.0
2017-03-31,23.56,$-14.65,0.0
2016-12-31,22.66,$-14.34,0.0
2016-09-30,23.94,$-1.43,0.0
2016-06-30,24.99,$-1.39,0.0
2016-03-31,25.48,$1.61,15.83
2015-12-31,22.24,$1.37,16.23
2015-09-30,21.69,$1.17,18.54
2015-06-30,22.31,$1.03,21.66
2015-03-31,23.79,$0.74,32.15
2014-12-31,26.22,$0.70,37.46
2014-09-30,22.36,$1.77,12.63
2014-06-30,22.87,$1.50,15.24
2014-03-31,22.17,$0.96,23.1
2013-12-31,21.24,$0.94,22.59
2013-09-30,23.13,$0.25,92.51
2013-06-30,23.34,$0.74,31.55
2013-03-31,26.06,$1.58,16.5
2012-12-31,25.44,$1.84,13.83
2012-09-30,26.52,$2.42,10.96
2012-06-30,29.26,$2.63,11.12
2012-03-31,26.8,$2.61,10.27
2011-12-31,25.72,$2.03,12.67
2011-09-30,25.76,$2.41,10.69
2011-06-30,25.01,$1.78,14.05
2011-03-31,20.74,$2.22,9.34
2010-12-31,20.41,$2.58,7.91
2010-09-30,20.92,$2.75,7.61
2010-06-30,18.85,$2.93,6.43
2010-03-31,20.6,$3.42,6.02
2009-12-31,24.17,$3.30,7.32
