Entergy PE Ratio Historical Data,Entergy PE Ratio Historical Data,Entergy PE Ratio Historical Data,Entergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,109.14,,10.95
2024-03-31,104.58,$9.97,10.49
2023-12-31,98.98,$11.09,8.93
2023-09-30,89.42,$6.96,12.85
2023-06-30,93.09,$6.56,14.19
2023-03-31,101.97,$5.50,18.54
2022-12-31,105.38,$5.39,19.55
2022-09-30,93.36,$6.16,15.16
2022-06-30,103.62,$6.05,17.13
2022-03-31,106.5,$5.24,20.32
2021-12-31,101.79,$5.54,18.37
2021-09-30,88.85,$6.19,14.35
2021-06-30,88.43,$6.15,14.38
2021-03-31,87.45,$7.97,10.97
2020-12-31,86.9,$6.90,12.59
2020-09-30,85.02,$6.89,12.34
2020-06-30,80.22,$6.12,13.11
2020-03-31,79.56,$5.55,14.33
2019-12-31,100.71,$6.28,16.04
2019-09-30,97.88,$4.00,24.47
2019-06-30,85.11,$5.10,16.69
2019-03-31,79.08,$5.22,15.15
2018-12-31,70.45,$4.63,15.22
2018-09-30,65.71,$2.33,28.2
2018-06-30,64.74,$1.62,39.96
2018-03-31,62.41,$2.55,24.48
2017-12-31,63.7,$2.28,27.94
2017-09-30,59.15,$-4.94,0.0
2017-06-30,58.81,$-4.99,0.0
2017-03-31,57.53,$-4.10,0.0
2016-12-31,54.96,$-3.28,0.0
2016-09-30,56.71,$7.16,7.92
2016-06-30,59.49,$0.96,61.97
2016-03-31,57.33,$-1.37,0.0
2015-12-31,48.85,$-1.00,0.0
2015-09-30,45.92,$-0.90,0.0
2015-06-30,49.14,$4.41,11.14
2015-03-31,53.41,$4.63,11.54
2014-12-31,59.69,$5.22,11.44
2014-09-30,52.25,$5.38,9.71
2014-06-30,54.83,$5.45,10.06
2014-03-31,44.15,$5.32,8.3
2013-12-31,41.24,$3.98,10.36
2013-09-30,40.66,$4.82,8.44
2013-06-30,44.28,$5.37,8.25
2013-03-31,39.71,$6.51,6.1
2012-12-31,39.52,$4.75,8.32
2012-09-30,42.43,$3.96,10.72
2012-06-30,41.09,$5.60,7.34
2012-03-31,40.15,$5.30,7.58
2011-12-31,43.13,$7.54,5.72
2011-09-30,38.67,$7.93,4.88
2011-06-30,39.3,$7.02,5.6
2011-03-31,38.22,$6.91,5.53
2010-12-31,39.83,$6.65,5.99
2010-09-30,42.55,$7.03,6.05
2010-06-30,39.41,$6.73,5.86
2010-03-31,44.29,$6.22,7.12
2009-12-31,44.12,$6.30,7.0
