Nasdaq PE Ratio Historical Data,Nasdaq PE Ratio Historical Data,Nasdaq PE Ratio Historical Data,Nasdaq PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,62.23,,32.75
2024-03-31,63.1,$1.90,33.21
2023-12-31,57.93,$2.11,27.45
2023-09-30,48.22,$2.23,21.62
2023-06-30,49.25,$2.22,22.19
2023-03-31,53.79,$2.30,23.42
2022-12-31,60.14,$2.20,27.38
2022-09-30,55.4,$2.28,24.3
2022-06-30,49.53,$2.37,20.87
2021-12-31,67.71,$2.35,28.81
2021-09-30,62.07,$2.29,27.14
2021-06-30,56.37,$2.29,24.62
2021-03-31,47.14,$2.13,22.09
2020-12-31,42.29,$2.02,20.9
2022-03-31,57.64,$1.98,29.06
2020-09-30,38.94,$1.82,21.39
2020-06-30,37.76,$1.59,23.7
2020-03-31,29.88,$1.02,29.3
2019-12-31,33.53,$0.94,35.8
2019-09-30,30.96,$0.86,36.15
2018-12-31,25.05,$0.91,27.63
2018-09-30,26.21,$1.48,17.71
2018-06-30,27.75,$1.49,18.58
2018-03-31,26.09,$1.46,17.87
2017-12-31,23.15,$1.44,16.07
2017-09-30,23.26,$0.51,45.9
2017-06-30,21.33,$0.43,49.98
2017-03-31,20.61,$0.28,74.47
2016-12-31,19.83,$0.24,82.61
2016-09-30,19.86,$0.96,20.76
2016-06-30,18.92,$0.96,19.78
2015-12-31,16.87,$0.83,20.25
2015-09-30,15.4,$0.71,21.79
2015-06-30,14.03,$0.68,20.73
2015-03-31,14.57,$0.62,23.62
2014-12-31,13.67,$0.80,17.16
2014-09-30,12.06,$0.90,13.39
2014-06-30,10.94,$0.88,12.38
2014-03-31,10.42,$0.86,12.11
2013-12-31,11.19,$1.16,9.67
2013-09-30,9.0,$0.97,9.28
2013-06-30,9.15,$0.92,9.98
2019-03-31,27.0,$0.92,29.46
2013-03-31,8.97,$0.60,14.96
2012-12-31,6.92,$0.68,10.22
2012-09-30,6.41,$0.66,9.71
2012-06-30,6.21,$0.69,8.99
2012-03-31,7.05,$0.68,10.31
2011-12-31,6.67,$0.71,9.35
2011-09-30,6.3,$0.79,7.94
2011-06-30,6.88,$0.76,9.1
2011-03-31,7.03,$0.74,9.5
2010-12-31,6.46,$0.64,10.04
2010-09-30,5.29,$0.48,11.01
2010-06-30,4.84,$0.41,11.9
2010-03-31,5.75,$0.36,15.82
2009-12-31,5.39,$0.53,10.18
2009-09-30,5.73,$0.61,9.39
2009-06-30,5.8,$0.86,6.72
