AstraZeneca PE Ratio Historical Data,AstraZeneca PE Ratio Historical Data,AstraZeneca PE Ratio Historical Data,AstraZeneca PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,78.54,,38.5
2024-03-31,67.75,$2.04,33.21
2023-12-31,66.33,$1.92,34.55
2023-09-30,66.7,$1.90,35.1
2023-06-30,70.02,$1.99,35.19
2023-03-31,67.91,$1.52,44.68
2022-12-31,65.38,$1.07,61.1
2022-09-30,52.88,$0.67,78.93
2022-06-30,63.26,$-0.41,0.0
2022-03-31,63.52,$-0.32,0.0
2021-12-31,54.84,$0.14,391.72
2021-09-30,56.54,$0.64,88.35
2021-06-30,55.96,$1.44,38.86
2021-03-31,46.45,$1.52,30.56
2020-12-31,45.81,$1.23,37.24
2020-09-30,50.22,$0.96,52.31
2020-06-30,48.08,$0.83,57.93
2020-03-31,40.6,$0.59,68.81
2019-12-31,44.39,$0.53,83.75
2019-09-30,39.68,$0.82,48.39
2019-06-30,36.38,$0.87,41.82
2019-03-31,35.63,$0.96,37.11
2018-12-31,32.72,$0.85,38.5
2018-09-30,34.09,$0.96,35.51
2018-06-30,29.91,$1.06,28.22
2018-03-31,29.79,$1.11,26.84
2017-12-31,28.76,$1.19,24.17
2017-09-30,28.08,$1.40,20.06
2017-06-30,27.83,$1.53,18.19
2017-03-31,25.42,$1.34,18.97
2016-12-31,21.59,$1.39,15.53
2016-09-30,25.97,$0.98,26.5
2016-06-30,23.54,$0.88,26.75
2016-03-31,21.96,$1.16,18.93
2015-12-31,25.66,$1.12,22.91
2015-09-30,24.05,$0.68,35.63
2015-06-30,23.76,$0.48,50.02
2015-03-31,25.52,$0.51,50.04
2014-12-31,25.53,$0.49,52.1
2014-09-30,25.91,$0.41,63.98
2014-06-30,26.61,$0.80,33.26
2014-03-31,23.23,$0.82,28.5
2013-12-31,20.66,$1.02,20.25
2013-09-30,18.07,$1.84,9.82
2013-06-30,16.17,$1.95,8.29
2013-03-31,17.09,$2.26,7.58
2012-12-31,15.52,$2.49,6.23
2012-09-30,15.71,$2.46,6.39
2012-06-30,14.41,$3.14,4.6
2012-03-31,14.33,$3.26,4.4
2011-12-31,14.29,$3.66,3.91
2011-09-30,13.7,$3.65,3.76
2011-06-30,15.17,$2.90,5.23
2011-03-31,13.97,$2.87,4.88
2010-12-31,13.47,$2.79,4.84
2010-09-30,14.79,$2.75,5.38
2010-06-30,13.56,$2.95,4.6
2010-03-31,12.87,$2.81,4.58
2009-12-31,13.01,$2.60,5.01
