American Airlines Group PE Ratio Historical Data,American Airlines Group PE Ratio Historical Data,American Airlines Group PE Ratio Historical Data,American Airlines Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,13.84,,23.07
2024-03-31,15.35,$0.60,25.58
2023-12-31,13.74,$1.10,12.49
2023-09-30,12.81,$2.21,5.8
2023-06-30,17.94,$3.73,4.81
2023-03-31,14.75,$2.53,5.83
2022-12-31,12.72,$1.07,11.89
2022-09-30,12.04,$0.18,66.89
2022-06-30,12.68,$-0.48,0.0
2021-12-31,17.96,$-3.13,0.0
2021-09-30,20.52,$-5.50,0.0
2021-06-30,21.21,$-10.46,0.0
2021-03-31,23.9,$-15.31,0.0
2020-12-31,15.77,$-18.60,0.0
2020-09-30,12.29,$-13.84,0.0
2020-06-30,13.07,$-8.17,0.0
2020-03-31,12.19,$-1.86,0.0
2019-12-31,28.58,$3.81,7.5
2019-09-30,26.79,$3.55,7.55
2019-06-30,32.28,$3.33,9.69
2019-03-31,31.34,$3.06,10.24
2018-12-31,31.6,$3.04,10.4
2018-09-30,40.57,$2.89,14.04
2018-06-30,37.16,$3.43,10.83
2018-03-31,50.75,$3.84,13.22
2017-12-31,50.71,$3.91,12.97
2017-09-30,46.19,$3.93,11.75
2017-06-30,48.84,$4.05,12.06
2017-03-31,40.97,$4.10,9.99
2016-12-31,45.12,$4.78,9.44
2016-09-30,35.29,$1.70,20.76
2016-06-30,27.21,$5.39,5.05
2016-03-31,39.3,$6.20,6.34
2022-03-31,18.25,$7.47,2.44
2015-12-31,40.47,$11.29,3.58
2015-09-30,37.03,$7.02,5.27
2015-06-30,37.99,$5.81,6.54
2015-03-31,50.1,$4.57,10.96
2014-12-31,50.81,$3.92,12.96
2014-09-30,33.53,$-5.56,0.0
2014-06-30,40.49,$-6.84,0.0
2014-03-31,34.5,$-8.01,0.0
2013-12-31,23.8,$-8.66,0.0
2013-09-30,17.87,0,0.0
2013-06-30,15.48,0,0.0
2013-03-31,16.0,0,0.0
2012-12-31,12.73,0,0.0
2012-09-30,9.86,0,0.0
2012-06-30,12.56,0,0.0
2012-03-31,7.15,0,0.0
2011-12-31,4.78,0,0.0
2011-09-30,5.18,0,0.0
2011-06-30,8.4,0,0.0
2011-03-31,8.21,0,0.0
2010-12-31,9.44,0,0.0
2010-09-30,8.72,0,0.0
2010-06-30,8.12,0,0.0
2010-03-31,6.93,0,0.0
2009-12-31,4.56,0,0.0
