Campbell Soup PE Ratio Historical Data,Campbell Soup PE Ratio Historical Data,Campbell Soup PE Ratio Historical Data,Campbell Soup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,45.34,,17.71
2024-01-31,44.25,$2.56,17.28
2023-10-31,39.73,$2.20,18.06
2023-07-31,44.64,$2.04,21.88
2023-04-30,52.48,$2.17,24.18
2022-07-31,46.7,$2.50,18.68
2022-04-30,44.35,$3.13,14.17
2022-01-31,41.1,$3.03,13.56
2021-10-31,36.91,$3.13,11.79
2021-07-31,40.04,$3.29,12.17
2021-04-30,43.37,$2.62,16.55
2021-01-31,43.37,$2.65,16.37
2020-10-31,41.75,$5.82,7.17
2020-07-31,44.02,$5.35,8.23
2020-04-30,44.08,$5.04,8.75
2020-01-31,42.36,$4.77,8.88
2019-10-31,40.24,$0.60,67.07
2019-07-31,35.66,$0.69,51.68
2019-04-30,33.09,$1.03,32.13
2019-01-31,30.03,$-0.56,0.0
2018-10-31,31.71,$0.59,53.75
2018-07-31,34.35,$0.86,39.94
2018-04-30,33.96,$1.59,21.36
2018-01-31,38.45,$3.48,11.05
2017-10-31,38.84,$2.86,13.58
2017-07-31,42.99,$2.89,14.87
2017-04-30,46.5,$1.59,29.24
2017-01-31,49.98,$1.60,31.24
2016-10-31,43.39,$2.12,20.47
2016-07-31,49.4,$1.80,27.44
2016-04-30,48.73,$2.28,21.37
2016-01-31,44.33,$2.27,19.53
2015-10-31,39.67,$2.08,19.07
2015-07-31,38.28,$2.20,17.4
2015-04-30,34.48,$2.41,14.31
2015-01-31,35.04,$2.41,14.54
2014-10-31,33.6,$2.78,12.09
2014-07-31,31.41,$2.58,12.17
2014-04-30,34.12,$1.65,20.68
2014-01-31,30.7,$1.64,18.72
2013-10-31,31.48,$1.21,26.02
2013-07-31,34.34,$1.45,23.68
2013-04-30,33.83,$2.35,14.4
2013-01-31,26.76,$2.55,10.5
2012-10-31,25.1,$2.50,10.04
2012-07-31,23.37,$2.36,9.9
2023-01-31,49.86,$2.78,17.93
2012-04-30,23.67,$2.32,10.2
2012-01-31,21.99,$2.34,9.4
2011-10-31,22.87,$2.69,8.5
2011-07-31,22.53,$2.58,8.73
2011-04-30,22.7,$3.09,7.35
2022-10-31,50.46,$2.85,17.71
2011-01-31,22.88,$2.35,9.73
2010-10-31,24.09,$2.38,10.12
2010-07-31,23.67,$2.43,9.74
2010-04-30,23.46,$2.30,10.2
2010-01-31,21.5,$2.30,9.35
2009-10-31,20.45,$2.20,9.3
