NRG Energy PE Ratio Historical Data,NRG Energy PE Ratio Historical Data,NRG Energy PE Ratio Historical Data,NRG Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,86.0,,12.18
2024-03-31,67.31,$7.06,9.53
2023-12-31,51.02,$-1.07,0.0
2023-09-30,37.68,$-7.72,0.0
2023-06-30,36.21,$-8.84,0.0
2023-03-31,32.85,$-7.93,0.0
2022-12-31,30.15,$5.06,5.96
2022-09-30,35.98,$7.88,4.57
2022-06-30,35.55,$14.19,2.51
2022-03-31,35.38,$16.43,2.15
2021-12-31,39.39,$8.93,4.41
2021-09-30,37.03,$9.97,3.71
2021-06-30,36.27,$4.39,8.26
2021-03-31,33.65,$1.26,26.71
2020-12-31,33.23,$2.08,15.97
2020-09-30,26.95,$15.65,1.72
2020-06-30,28.29,$16.08,1.76
2020-03-31,23.48,$15.56,1.51
2019-12-31,33.96,$16.79,2.02
2019-09-30,33.8,$3.88,8.71
2019-06-30,29.95,$2.19,13.68
2019-03-31,36.2,$1.67,21.68
2018-12-31,33.72,$0.82,41.13
2018-09-30,31.82,$-3.98,0.0
2018-06-30,26.1,$-3.21,0.0
2018-03-31,25.93,$-5.42,0.0
2017-12-31,24.16,$-6.81,0.0
2017-09-30,21.68,$-5.10,0.0
2017-06-30,14.57,$-4.36,0.0
2017-03-31,15.8,$-2.99,0.0
2016-12-31,10.34,$-2.23,0.0
2016-09-30,9.42,$-18.31,0.0
2016-06-30,12.58,$-19.40,0.0
2016-03-31,10.89,$-18.85,0.0
2015-12-31,9.72,$-19.46,0.0
2015-09-30,12.12,$-0.04,0.0
2015-06-30,18.56,$0.26,71.37
2015-03-31,20.31,$0.02,1015.7
2014-12-31,21.61,$0.21,102.88
2014-09-30,24.32,$-0.97,0.0
2014-06-30,29.55,$-1.08,0.0
2014-03-31,25.15,$-0.39,0.0
2013-12-31,22.62,$-1.23,0.0
2013-09-30,21.43,$1.80,11.91
2013-06-30,20.85,$1.42,14.68
2013-03-31,20.59,$2.11,9.76
2012-12-31,17.81,$2.21,8.06
2012-09-30,16.5,$-0.33,0.0
2012-06-30,13.33,$-0.56,0.0
2012-03-31,12.03,$0.89,13.52
2011-12-31,13.91,$0.75,18.55
2011-09-30,16.29,$1.16,14.04
2011-06-30,18.87,$2.27,8.31
2011-03-31,16.54,$0.55,30.07
2010-12-31,15.0,$1.83,8.2
2010-09-30,15.99,$2.01,7.95
2010-06-30,16.29,$2.16,7.54
2010-03-31,16.05,$2.91,5.51
2009-12-31,18.13,$3.39,5.35
