Weyerhaeuser PE Ratio Historical Data,Weyerhaeuser PE Ratio Historical Data,Weyerhaeuser PE Ratio Historical Data,Weyerhaeuser PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,30.2,,27.45
2024-03-31,35.91,$1.10,32.65
2023-12-31,34.42,$1.15,29.93
2023-09-30,30.17,$0.87,34.68
2023-06-30,32.79,$0.96,34.15
2023-03-31,29.29,$1.71,17.13
2022-12-31,29.15,$2.05,14.22
2022-09-30,26.71,$2.67,10.0
2022-06-30,30.81,$3.62,8.51
2021-12-31,36.6,$3.47,10.55
2021-09-30,31.04,$3.31,9.38
2021-06-30,29.9,$3.05,9.8
2021-03-31,30.78,$1.78,17.29
2020-12-31,28.84,$1.07,26.95
2020-09-30,24.39,$0.66,36.95
2020-06-30,19.21,$0.41,46.84
2020-03-31,14.49,$0.48,30.2
2019-12-31,25.5,$1.31,19.47
2019-09-30,23.12,$0.94,24.6
2019-06-30,21.71,$0.69,31.46
2022-03-31,35.09,$0.86,40.8
2019-03-31,21.4,$0.25,85.58
2018-12-31,17.52,$0.99,17.69
2018-09-30,25.86,$1.47,17.59
2018-06-30,28.93,$1.30,22.25
2018-03-31,27.54,$0.91,30.26
2017-12-31,27.49,$0.77,35.7
2017-09-30,26.29,$1.14,23.06
2017-06-30,25.64,$1.27,20.19
2017-03-31,25.77,$1.45,17.77
2016-12-31,22.61,$1.35,16.75
2016-09-30,23.76,$0.73,32.55
2016-06-30,21.93,$0.78,28.12
2016-03-31,22.6,$0.83,27.22
2015-12-31,21.62,$0.89,24.29
2015-09-30,19.51,$1.09,17.9
2015-06-30,22.22,$2.89,7.69
2015-03-31,23.18,$3.10,7.48
2014-12-31,24.89,$3.24,7.68
2014-09-30,21.9,$3.00,7.3
2014-06-30,22.55,$1.12,20.14
2014-03-31,19.86,$1.00,19.86
2013-12-31,21.21,$0.95,22.32
2013-09-30,19.09,$1.14,16.75
2013-06-30,18.85,$1.09,17.29
2013-03-31,20.63,$0.90,22.92
2012-12-31,18.19,$0.72,25.26
2012-09-30,16.98,$0.58,29.28
2012-06-30,14.44,$0.65,22.21
2012-03-31,14.05,$0.51,27.55
2011-12-31,11.88,$0.75,15.84
2011-09-30,9.81,$0.95,10.33
2011-06-30,13.68,$4.16,3.29
2011-03-31,15.29,$4.21,3.63
2010-12-31,11.69,$3.85,3.04
2010-09-30,9.7,$3.19,3.04
2010-06-30,8.15,$-0.31,0.0
2010-03-31,10.47,$-0.59,0.0
2009-12-31,9.96,$-1.06,0.0
