Monolithic Power Systems PE Ratio Historical Data,Monolithic Power Systems PE Ratio Historical Data,Monolithic Power Systems PE Ratio Historical Data,Monolithic Power Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,753.38,,89.79
2024-03-31,677.42,$8.39,80.74
2023-12-31,629.61,$8.76,71.87
2023-09-30,460.42,$9.23,49.88
2023-06-30,537.19,$9.32,57.64
2023-03-31,496.79,$9.65,51.48
2022-12-31,350.26,$9.04,38.75
2022-09-30,359.2,$8.10,44.35
2022-06-30,378.82,$6.97,54.35
2022-03-31,478.16,$5.76,83.01
2021-12-31,484.95,$5.06,95.84
2021-09-30,475.87,$4.45,106.94
2021-06-30,366.21,$4.19,87.4
2021-03-31,345.81,$3.67,94.23
2020-12-31,357.93,$3.42,104.66
2020-09-30,272.89,$3.16,86.36
2020-06-30,230.89,$2.43,95.02
2019-12-31,172.53,$2.37,72.8
2019-09-30,150.49,$2.28,66.01
2019-06-30,130.97,$2.41,54.34
2019-03-31,130.29,$2.67,48.8
2018-12-31,111.46,$2.64,42.22
2020-03-31,162.79,$2.52,64.6
2018-09-30,120.04,$2.02,59.43
2018-06-30,127.52,$1.85,68.93
2018-03-31,110.2,$1.65,66.79
2017-12-31,106.67,$1.49,71.59
2017-09-30,100.98,$1.61,62.72
2017-06-30,91.19,$1.41,64.67
2017-03-31,86.95,$1.33,65.37
2016-12-31,77.18,$1.25,61.74
2016-09-30,75.65,$1.10,68.77
2016-06-30,64.04,$1.04,61.58
2016-03-31,59.47,$0.96,61.95
2015-12-31,59.35,$0.86,69.01
2015-09-30,47.55,$0.84,56.61
2015-06-30,46.9,$0.84,55.84
2015-03-31,48.51,$0.81,59.89
2014-12-31,45.66,$0.89,51.3
2014-09-30,40.31,$0.86,46.88
2014-06-30,38.63,$0.77,50.17
2014-03-31,35.24,$0.75,46.98
2013-12-31,31.5,$0.59,53.39
2013-09-30,27.52,$0.41,67.12
2013-06-30,21.91,$0.38,57.66
2013-03-31,22.15,$0.42,52.74
2012-12-31,20.25,$0.43,47.09
2012-09-30,17.15,$0.49,35.0
2012-06-30,17.24,$0.49,35.18
2012-03-31,17.08,$0.41,41.66
2011-12-31,13.09,$0.38,34.44
2011-09-30,8.84,$0.41,21.56
2011-06-30,13.39,$0.60,22.32
2011-03-31,12.32,$0.67,18.39
2010-12-31,14.35,$0.74,19.39
2010-09-30,14.18,$0.98,14.47
2010-06-30,15.51,$0.72,21.54
2009-12-31,20.82,$0.53,39.28
2009-09-30,20.37,$0.58,35.11
