CocaCola PE Ratio Historical Data,CocaCola PE Ratio Historical Data,CocaCola PE Ratio Historical Data,CocaCola PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,62.0,,24.8
2024-03-31,61.18,$2.50,24.47
2023-12-31,58.46,$2.48,23.57
2023-09-30,55.1,$2.49,22.13
2023-06-30,58.81,$2.43,24.2
2023-03-31,60.13,$2.28,26.37
2022-12-31,61.19,$2.20,27.81
2022-09-30,53.52,$2.29,23.37
2022-06-30,59.66,$2.21,27.0
2022-03-31,58.37,$2.38,24.52
2021-12-31,55.32,$2.26,24.48
2021-09-30,48.64,$2.04,23.84
2021-06-30,49.78,$1.87,26.62
2021-03-31,48.13,$1.67,28.82
2020-12-31,49.66,$1.79,27.74
2020-09-30,44.35,$1.92,23.1
2020-06-30,39.82,$2.12,18.78
2020-03-31,39.08,$2.32,16.85
2019-12-31,48.48,$2.07,23.42
2019-09-30,47.33,$1.80,26.29
2019-06-30,43.94,$1.64,26.79
2019-03-31,40.13,$1.57,25.56
2018-12-31,40.19,$1.50,26.8
2018-09-30,38.9,$0.65,59.84
2018-06-30,36.62,$0.54,67.82
2018-03-31,35.94,$0.32,112.32
2017-12-31,37.64,$0.27,139.39
2017-09-30,36.63,$1.05,34.88
2017-06-30,36.21,$0.96,37.71
2017-03-31,33.98,$1.43,23.76
2016-12-31,32.91,$1.50,21.94
2016-09-30,33.31,$1.65,20.19
2016-06-30,35.38,$1.74,20.33
2016-03-31,35.93,$1.66,21.65
2015-12-31,33.02,$1.67,19.77
2015-09-30,30.6,$1.56,19.62
2015-06-30,29.67,$1.71,17.35
2015-03-31,30.41,$1.38,22.04
2014-12-31,31.41,$1.57,20.01
2014-09-30,31.52,$1.99,15.84
2013-12-31,29.84,$1.90,15.71
2013-09-30,27.17,$1.93,14.08
2013-06-30,28.56,$1.97,14.5
2013-03-31,28.6,$1.88,15.21
2012-12-31,25.45,$2.10,12.15
2014-06-30,31.07,$2.13,14.59
2012-09-30,26.45,$1.91,13.85
2012-06-30,27.08,$1.89,14.37
2012-03-31,25.46,$1.88,13.54
2011-12-31,23.9,$1.85,12.95
2011-09-30,22.91,$2.72,8.44
2011-06-30,22.67,$2.68,8.46
2011-03-31,22.19,$2.59,8.57
2010-12-31,21.84,$2.54,8.6
2010-09-30,19.3,$1.66,11.66
2010-06-30,16.4,$1.55,10.62
2014-03-31,28.15,$1.44,19.55
2010-03-31,17.85,$1.52,11.74
2009-12-31,18.34,$1.47,12.52
