Norfolk Southern PE Ratio Historical Data,Norfolk Southern PE Ratio Historical Data,Norfolk Southern PE Ratio Historical Data,Norfolk Southern PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,226.86,,36.53
2024-03-31,253.41,$6.21,40.81
2023-12-31,233.79,$8.02,29.15
2023-09-30,193.41,$9.12,21.21
2023-06-30,221.39,$11.12,19.91
2023-03-31,205.62,$13.01,15.8
2022-12-31,237.74,$13.90,17.1
2022-09-30,201.17,$13.60,14.79
2022-06-30,217.02,$12.56,17.28
2022-03-31,271.03,$12.39,21.87
2021-12-31,281.63,$12.10,23.28
2021-09-30,225.47,$11.20,20.13
2021-06-30,249.06,$9.67,25.76
2020-12-31,221.31,$7.86,28.16
2020-09-30,198.49,$7.77,25.55
2020-06-30,162.07,$8.21,19.74
2020-03-31,134.03,$9.17,14.62
2019-12-31,177.43,$10.40,17.06
2021-03-31,251.11,$10.36,24.24
2019-09-30,163.36,$10.27,15.91
2019-06-30,180.32,$10.30,17.51
2019-03-31,168.34,$10.10,16.67
2018-12-31,134.02,$9.52,14.08
2018-09-30,161.0,$20.74,7.76
2018-06-30,133.95,$19.97,6.71
2018-03-31,119.94,$19.18,6.25
2017-12-31,127.38,$18.73,6.8
2017-09-30,115.71,$6.36,18.19
2017-06-30,105.92,$6.16,17.19
2017-03-31,96.95,$5.81,16.69
2016-12-31,93.1,$5.62,16.57
2016-09-30,83.08,$5.40,15.39
2016-06-30,72.38,$5.34,13.55
2016-03-31,70.32,$5.39,13.05
2015-12-31,70.83,$5.10,13.89
2015-09-30,63.5,$5.54,11.46
2015-06-30,72.1,$5.84,12.35
2015-03-31,84.44,$6.22,13.58
2014-12-31,89.43,$6.39,14.0
2014-09-30,90.59,$6.39,14.18
2014-06-30,83.17,$6.13,13.57
2014-03-31,78.0,$5.80,13.45
2013-12-31,74.08,$6.04,12.26
2013-09-30,61.36,$5.70,10.76
2013-06-30,57.22,$5.41,10.58
2013-03-31,60.31,$5.55,10.87
2012-12-31,48.04,$5.37,8.95
2012-09-30,49.03,$5.49,8.93
2012-06-30,54.93,$5.84,9.41
2012-03-31,50.06,$5.80,8.63
2011-12-31,55.05,$5.47,10.06
2011-09-30,45.84,$5.14,8.92
2011-06-30,55.95,$4.74,11.8
2011-03-31,51.44,$4.22,12.19
2010-12-31,46.34,$4.00,11.59
2010-09-30,43.65,$3.73,11.7
2010-06-30,38.67,$3.35,11.54
2010-03-31,40.5,$2.78,14.57
2009-12-31,37.72,$2.76,13.67
