Procter & Gamble PE Ratio Historical Data,Procter & Gamble PE Ratio Historical Data,Procter & Gamble PE Ratio Historical Data,Procter & Gamble PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,165.33,,27.01
2024-03-31,161.22,$6.12,26.34
2023-12-31,144.69,$5.97,24.24
2023-09-30,143.11,$6.16,23.23
2023-06-30,147.95,$5.90,25.08
2023-03-31,144.08,$5.74,25.1
2022-12-31,145.93,$5.70,25.6
2022-09-30,120.69,$5.77,20.92
2022-06-30,136.57,$5.81,23.51
2022-03-31,144.32,$5.73,25.19
2021-12-31,153.68,$5.66,27.15
2021-09-30,130.52,$5.47,23.86
2021-06-30,125.18,$5.49,22.8
2021-03-31,124.84,$5.43,22.99
2020-12-31,127.49,$5.29,24.1
2020-09-30,126.65,$5.23,24.22
2020-06-30,108.27,$4.96,21.83
2020-03-31,98.95,$1.77,55.9
2019-12-31,111.69,$1.69,66.09
2019-09-30,110.52,$1.50,73.68
2019-06-30,96.8,$1.36,71.18
2019-03-31,91.22,$4.20,21.72
2018-12-31,79.95,$4.11,19.45
2018-09-30,71.75,$3.82,18.78
2018-06-30,66.69,$3.66,18.22
2018-03-31,67.09,$3.76,17.84
2017-12-31,77.16,$3.74,20.63
2017-09-30,75.83,$5.69,13.33
2017-06-30,72.08,$5.59,12.89
2017-03-31,73.74,$5.46,13.51
2016-12-31,68.47,$5.50,12.45
2016-09-30,72.52,$3.74,19.39
2016-06-30,67.88,$3.69,18.4
2016-03-31,65.45,$3.18,20.58
2015-12-31,62.6,$2.96,21.15
2015-09-30,56.2,$2.66,21.13
2015-06-30,60.63,$2.44,24.85
2015-03-31,62.98,$3.15,19.99
2014-12-31,69.52,$3.30,21.07
2014-09-30,63.43,$3.66,17.33
2014-06-30,59.06,$4.01,14.73
2014-03-31,60.08,$3.76,15.98
2013-12-31,60.23,$3.74,16.1
2013-09-30,55.5,$3.95,14.05
2013-06-30,56.11,$3.87,14.5
2013-03-31,55.72,$4.47,12.47
2012-12-31,48.7,$4.41,11.04
2012-09-30,49.35,$3.59,13.75
2012-06-30,43.21,$3.66,11.81
2012-03-31,47.02,$3.26,14.42
2011-12-31,46.3,$3.40,13.62
2011-09-30,43.5,$3.94,11.04
2011-06-30,43.41,$3.93,11.05
2011-03-31,41.72,$3.80,10.98
2010-12-31,43.25,$3.67,11.79
2010-09-30,40.02,$4.05,9.88
2010-06-30,39.71,$4.09,9.71
2010-03-31,41.57,$4.18,9.95
2009-12-31,39.55,$4.19,9.44
