Huntington Ingalls Industries PE Ratio Historical Data,Huntington Ingalls Industries PE Ratio Historical Data,Huntington Ingalls Industries PE Ratio Historical Data,Huntington Ingalls Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,256.2,,14.44
2024-03-31,291.47,$17.74,16.43
2023-12-31,258.47,$17.10,15.12
2023-09-30,202.55,$13.27,15.26
2023-06-30,224.07,$13.01,17.22
2023-03-31,202.54,$14.18,14.28
2022-12-31,224.41,$14.45,15.53
2022-09-30,214.31,$14.37,14.91
2022-06-30,209.73,$14.58,14.38
2022-03-31,190.96,$13.34,14.32
2021-12-31,177.71,$13.52,13.14
2021-09-30,182.57,$16.68,10.95
2021-06-30,198.19,$18.48,10.72
2021-03-31,192.57,$16.58,11.61
2020-12-31,158.49,$17.13,9.25
2020-09-30,129.96,$14.59,8.91
2020-06-30,160.04,$12.88,12.43
2020-03-31,166.27,$14.65,11.35
2019-12-31,227.84,$13.27,17.17
2019-09-30,191.56,$14.60,13.12
2019-06-30,202.43,$16.15,12.53
2019-03-31,185.85,$18.48,10.06
2018-12-31,170.02,$19.11,8.9
2018-09-30,228.78,$15.58,14.68
2018-06-30,193.1,$13.56,14.24
2018-03-31,228.87,$11.37,20.13
2017-12-31,208.71,$10.45,19.97
2017-09-30,199.9,$13.24,15.1
2017-06-30,163.87,$12.24,13.39
2017-03-31,175.72,$11.83,14.85
2016-12-31,161.19,$12.14,13.28
2016-09-30,133.82,$9.00,14.87
2016-06-30,146.12,$9.02,16.2
2016-03-31,118.69,$9.42,12.6
2015-12-31,109.53,$8.34,13.13
2015-09-30,92.18,$8.33,11.07
2015-06-30,96.5,$8.00,12.06
2015-03-31,119.74,$6.84,17.51
2014-12-31,95.81,$6.86,13.97
2014-09-30,88.46,$7.63,11.59
2014-06-30,80.14,$7.03,11.4
2014-03-31,86.47,$6.11,14.15
2013-12-31,75.96,$5.17,14.69
2013-09-30,56.74,$4.33,13.1
2013-06-30,47.48,$3.23,14.7
2013-03-31,44.75,$3.11,14.39
2012-12-31,36.28,$2.91,12.47
2012-09-30,35.12,$3.32,10.58
2012-06-30,33.61,$-2.01,0.0
2012-03-31,33.61,$-2.21,0.0
2011-12-31,26.12,$-1.96,0.0
