Trimble PE Ratio Historical Data,Trimble PE Ratio Historical Data,Trimble PE Ratio Historical Data,Trimble PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,56.8,,59.17
2024-03-31,64.36,$0.96,67.04
2023-12-31,53.2,$1.25,42.56
2023-09-30,53.86,$1.34,40.19
2023-06-30,52.94,$1.38,38.36
2023-03-31,52.42,$1.87,28.03
2022-12-31,50.56,$1.79,28.25
2022-09-30,54.27,$1.90,28.56
2022-06-30,58.23,$2.05,28.4
2022-03-31,72.14,$1.93,37.38
2021-12-31,87.19,$1.94,44.94
2021-09-30,82.25,$2.20,37.39
2021-06-30,81.83,$2.05,39.92
2021-03-31,77.79,$1.75,44.45
2020-12-31,66.77,$1.55,43.08
2020-09-30,48.7,$1.95,24.97
2020-06-30,43.19,$1.92,22.49
2020-03-31,31.83,$2.04,15.6
2019-12-31,41.69,$2.04,20.44
2019-09-30,38.81,$1.27,30.56
2019-06-30,45.11,$1.19,37.91
2019-03-31,40.4,$0.68,59.41
2018-12-31,32.91,$0.65,50.63
2018-03-31,35.88,$0.50,71.76
2017-12-31,40.64,$0.47,86.47
2017-09-30,39.25,$0.76,51.64
2017-06-30,35.67,$0.69,51.7
2017-03-31,32.01,$0.64,50.02
2016-12-31,30.15,$0.52,57.98
2016-09-30,28.56,$0.46,62.09
2016-06-30,24.36,$0.45,54.13
2016-03-31,24.8,$0.41,60.49
2015-12-31,21.45,$0.54,39.72
2015-09-30,16.42,$0.49,33.51
2015-06-30,23.46,$0.64,36.66
2014-12-31,26.54,$0.80,33.18
2014-09-30,30.5,$0.82,37.2
2014-06-30,36.95,$0.91,40.6
2014-03-31,38.87,$0.83,46.83
2013-12-31,34.7,$0.78,44.49
2015-03-31,25.2,$0.74,34.05
2013-09-30,29.71,$0.74,40.15
2013-06-30,25.99,$0.74,35.12
2013-03-31,29.98,$0.74,40.51
2012-12-31,29.89,$0.75,39.85
2012-09-30,23.83,$0.74,32.42
2012-06-30,23.01,$0.64,36.23
2012-03-31,27.21,$0.64,42.52
2011-12-31,21.7,$0.60,36.17
2011-09-30,16.78,$0.63,26.63
2011-06-30,19.82,$0.66,30.26
2011-03-31,25.27,$0.47,54.34
2010-12-31,19.97,$0.42,47.54
2010-09-30,17.52,$0.32,55.62
2010-06-30,14.0,$0.47,29.79
2010-03-31,14.36,$0.51,28.16
2009-12-31,12.6,$0.48,26.25
2018-09-30,43.46,$0.51,85.22
2009-09-30,11.96,$0.47,25.44
