Edison PE Ratio Historical Data,Edison PE Ratio Historical Data,Edison PE Ratio Historical Data,Edison PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,74.57,,32.71
2024-03-31,70.73,$2.28,31.02
2023-12-31,70.7,$3.12,22.66
2023-09-30,61.91,$3.21,19.29
2023-06-30,66.45,$2.48,26.79
2023-03-31,67.54,$2.19,30.84
2022-12-31,60.24,$1.60,37.65
2022-09-30,52.96,$1.89,28.02
2022-06-30,57.85,$1.32,43.83
2022-03-31,64.13,$1.53,41.91
2021-12-31,61.81,$1.99,31.06
2021-09-30,49.72,$2.01,24.74
2021-06-30,50.64,$2.15,23.55
2021-03-31,51.32,$2.16,23.76
2020-12-31,54.41,$1.98,27.48
2020-09-30,43.57,$0.99,44.01
2020-06-30,45.45,$3.10,14.66
2020-03-31,45.85,$3.45,13.29
2019-12-31,62.39,$3.80,16.42
2019-09-30,61.87,$-0.99,0.0
2019-06-30,54.36,$-0.77,0.0
2019-03-31,49.94,$-1.13,0.0
2018-12-31,45.34,$-1.31,0.0
2018-09-30,53.48,$1.42,37.66
2018-06-30,49.54,$1.28,38.71
2018-03-31,49.38,$1.29,38.28
2017-12-31,48.58,$1.72,28.25
2017-09-30,58.73,$4.43,13.26
2017-06-30,59.09,$4.27,13.84
2017-03-31,59.75,$4.26,14.03
2016-12-31,53.67,$3.98,13.48
2016-09-30,53.45,$2.69,19.87
2016-06-30,57.09,$2.70,21.15
2016-03-31,52.51,$3.01,17.45
2015-12-31,42.96,$3.10,13.86
2015-09-30,45.4,$4.61,9.85
2015-06-30,39.74,$4.79,8.3
2015-03-31,44.34,$5.28,8.4
2014-12-31,46.17,$4.91,9.4
2014-09-30,39.19,$4.56,8.59
2014-06-30,40.46,$4.44,9.11
2014-03-31,39.18,$2.51,15.61
2013-12-31,31.83,$2.79,11.41
2013-09-30,31.43,$0.23,136.63
2013-06-30,32.62,$-0.53,0.0
2013-03-31,33.84,$-0.02,0.0
2012-12-31,30.19,$-0.56,0.0
2012-09-30,30.29,$-1.49,0.0
2012-06-30,30.42,$-0.76,0.0
2012-03-31,27.79,$-0.44,0.0
2011-12-31,26.86,$-0.11,0.0
2011-09-30,24.62,$2.97,8.29
2011-06-30,24.73,$3.22,7.68
2011-03-31,23.16,$3.73,6.21
2010-12-31,24.22,$3.84,6.31
2010-09-30,21.4,$3.98,5.38
2010-06-30,19.56,$3.65,5.36
2010-03-31,20.87,$2.55,8.19
2009-12-31,21.05,$2.59,8.13
