Netflix PE Ratio Historical Data,Netflix PE Ratio Historical Data,Netflix PE Ratio Historical Data,Netflix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,646.75,,44.88
2024-03-31,607.33,$14.41,42.15
2023-12-31,486.88,$12.01,40.54
2023-09-30,377.6,$10.02,37.68
2023-06-30,440.49,$9.39,46.91
2023-03-31,345.48,$9.30,37.15
2022-12-31,294.88,$9.95,29.64
2022-09-30,235.44,$11.16,21.1
2022-06-30,174.87,$11.25,15.54
2022-03-31,374.59,$11.02,33.99
2021-12-31,602.44,$11.24,53.6
2021-09-30,610.34,$11.10,54.99
2021-06-30,528.21,$9.65,54.74
2021-03-31,521.66,$8.27,63.08
2020-12-31,540.73,$6.09,88.79
2020-09-30,500.03,$6.20,80.65
2020-06-30,455.04,$5.93,76.74
2020-03-31,375.5,$4.94,76.01
2019-12-31,323.57,$4.13,78.35
2019-09-30,267.62,$3.13,85.5
2019-06-30,367.32,$2.55,144.05
2019-03-31,356.56,$2.80,127.34
2018-12-31,267.66,$2.68,99.87
2018-09-30,374.13,$2.79,134.1
2018-06-30,391.43,$2.19,178.74
2018-03-31,295.35,$1.49,198.22
2017-12-31,191.96,$1.25,153.57
2017-09-30,181.35,$0.99,183.18
2017-06-30,149.41,$0.82,182.21
2017-03-31,147.81,$0.76,194.49
2016-12-31,123.8,$0.42,294.76
2016-09-30,98.55,$0.37,266.35
2016-06-30,91.48,$0.32,285.88
2016-03-31,102.23,$0.29,352.52
2015-12-31,114.38,$0.28,402.32
2015-09-30,103.24,$0.38,273.7
2015-06-30,93.85,$0.44,211.23
2015-03-31,59.53,$0.55,108.51
2014-12-31,48.8,$0.62,79.07
2014-09-30,64.45,$0.53,120.63
2014-06-30,62.94,$0.47,133.5
2014-03-31,50.29,$0.38,133.32
2013-12-31,52.6,$0.26,201.21
2013-09-30,44.17,$0.17,259.84
2013-06-30,30.16,$0.11,263.83
2013-03-31,27.04,$0.06,450.67
2012-12-31,13.23,$0.04,318.73
2012-09-30,7.78,$0.13,61.14
2012-06-30,9.78,$0.27,35.67
2012-03-31,16.43,$0.44,37.47
2011-12-31,9.9,$0.61,16.26
2011-09-30,16.18,$0.63,25.74
2011-06-30,37.53,$0.56,66.67
2011-03-31,33.97,$0.50,68.32
2010-12-31,25.1,$0.42,59.35
2010-09-30,23.17,$0.38,61.19
2010-06-30,15.52,$0.35,43.98
2010-03-31,10.53,$0.32,33.37
2009-12-31,7.87,$0.28,27.68
