Constellation Brands Inc PE Ratio Historical Data,Constellation Brands Inc PE Ratio Historical Data,Constellation Brands Inc PE Ratio Historical Data,Constellation Brands Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,248.51,,26.49
2024-02-29,247.54,$9.38,26.39
2023-11-30,238.67,$8.45,28.24
2023-08-31,257.62,$8.21,31.38
2023-05-31,239.44,$-1.83,0.0
2023-02-28,219.59,$-0.51,0.0
2022-11-30,251.74,$0.35,719.27
2022-08-31,239.89,$0.31,773.85
2022-05-31,238.54,$6.62,36.03
2022-02-28,208.88,$-0.18,0.0
2021-11-30,217.59,$-0.30,0.0
2021-08-31,203.18,$3.77,53.89
2021-05-31,229.88,$6.38,36.03
2021-02-28,204.71,$10.18,20.11
2020-11-30,196.13,$10.27,19.1
2020-08-31,175.07,$5.57,31.43
2020-05-31,163.17,$0.18,906.52
2020-02-29,162.13,$-0.18,0.0
2019-11-30,174.34,$4.15,42.01
2019-08-31,190.73,$3.86,49.41
2019-05-31,164.69,$12.50,13.17
2019-02-28,157.3,$17.57,8.95
2018-11-30,181.26,$15.84,11.44
2018-08-31,192.07,$16.72,11.49
2018-05-31,205.09,$13.33,15.39
2018-02-28,197.44,$11.82,16.7
2017-11-30,198.88,$9.16,21.71
2017-08-31,182.45,$8.47,21.54
2017-02-28,144.0,$7.54,19.1
2016-11-30,136.69,$6.47,21.13
2016-08-31,147.99,$6.49,22.8
2016-05-31,137.82,$6.07,22.71
2016-02-29,126.96,$6.01,21.12
2017-05-31,166.19,$6.00,27.7
2015-11-30,125.62,$5.06,24.83
2015-08-31,114.38,$4.83,23.68
2015-05-31,105.08,$4.13,25.44
2015-02-28,101.98,$4.02,25.37
2014-11-30,85.69,$10.70,8.01
2014-02-28,72.03,$9.87,7.3
2013-11-30,62.59,$9.51,6.58
2013-08-31,48.22,$9.42,5.12
2013-05-31,47.12,$2.26,20.85
2013-02-28,39.33,$2.66,14.78
2014-08-31,77.42,$2.61,29.66
2012-11-30,31.89,$2.14,14.9
2012-08-31,29.28,$2.08,14.08
2012-05-31,17.15,$2.17,7.9
2012-02-29,19.41,$2.14,9.07
2011-11-30,17.31,$2.95,5.87
2011-08-31,17.57,$3.09,5.69
2011-05-31,19.52,$2.76,7.07
2011-02-28,18.06,$2.63,6.87
2010-11-30,18.32,$1.08,16.96
2010-08-31,14.81,$0.62,23.89
2010-05-31,14.81,$0.64,23.14
2010-02-28,13.37,$0.45,29.71
2009-11-30,15.21,$-1.20,0.0
2009-08-31,13.15,$-0.37,0.0
