Travelers PE Ratio Historical Data,Travelers PE Ratio Historical Data,Travelers PE Ratio Historical Data,Travelers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,213.33,,15.85
2024-03-31,230.14,$13.46,17.1
2023-12-31,189.63,$12.79,14.83
2023-09-30,161.68,$9.24,17.5
2023-06-30,170.86,$9.39,18.2
2023-03-31,167.69,$11.73,14.3
2022-12-31,182.45,$11.75,15.53
2022-09-30,148.34,$13.68,10.84
2022-06-30,162.85,$14.41,11.3
2022-03-31,174.99,$15.80,11.08
2021-12-31,149.04,$14.52,10.26
2021-09-30,144.01,$14.25,10.11
2021-06-30,141.04,$14.86,9.49
2021-03-31,140.89,$11.04,12.76
2020-12-31,130.77,$10.50,12.45
2020-09-30,100.16,$8.75,11.45
2020-06-30,104.8,$7.02,14.93
2020-03-31,90.68,$9.28,9.77
2019-12-31,124.12,$9.94,12.49
2019-09-30,133.95,$8.91,15.03
2019-06-30,133.96,$10.03,13.36
2019-03-31,122.22,$9.85,12.41
2018-12-31,106.08,$9.28,11.43
2018-09-30,114.19,$8.94,12.77
2018-06-30,107.07,$7.37,14.53
2018-03-31,120.81,$7.56,15.98
2017-12-31,117.41,$7.31,16.06
2017-09-30,105.48,$8.61,12.25
2017-06-30,108.26,$10.01,10.81
2017-03-31,102.53,$10.14,10.11
2016-12-31,103.56,$10.27,10.08
2016-09-30,96.36,$9.82,9.81
2016-06-30,99.57,$10.34,9.63
2016-03-31,97.05,$10.63,9.13
2015-12-31,93.34,$10.88,8.58
2015-09-30,81.87,$11.15,7.34
2015-06-30,79.03,$10.87,7.27
2015-03-31,87.85,$10.30,8.53
2014-12-31,85.56,$10.70,8.0
2014-09-30,75.54,$10.30,7.33
2014-06-30,75.2,$9.91,7.59
2014-03-31,67.63,$10.36,6.53
2013-12-31,71.53,$9.74,7.34
2013-09-30,66.6,$7.82,8.52
2013-06-30,62.4,$7.73,8.07
2013-03-31,65.34,$6.58,9.93
2012-12-31,55.42,$6.27,8.84
2012-09-30,52.35,$7.00,7.48
2012-06-30,48.61,$5.58,8.71
2012-03-31,44.75,$3.45,12.97
2011-12-31,44.4,$3.35,13.26
2011-09-30,36.3,$3.82,9.5
2011-06-30,43.14,$5.16,8.36
2011-03-31,43.66,$7.40,5.9
2010-12-31,40.64,$6.74,6.03
2010-09-30,37.76,$7.14,5.29
2010-06-30,35.44,$6.67,5.31
2010-03-31,38.53,$6.57,5.87
2009-12-31,35.4,$6.42,5.51
