Domino's Pizza Inc PE Ratio Historical Data,Domino's Pizza Inc PE Ratio Historical Data,Domino's Pizza Inc PE Ratio Historical Data,Domino's Pizza Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,502.16,,32.78
2024-03-31,496.88,$15.32,32.43
2023-12-31,410.83,$14.67,28.0
2023-09-30,376.37,$14.62,25.74
2023-06-30,333.83,$13.23,25.23
2023-03-31,325.49,$12.97,25.1
2022-12-31,340.46,$12.54,27.15
2022-09-30,303.97,$12.36,24.59
2022-06-30,380.65,$12.81,29.71
2022-03-31,396.39,$13.05,30.37
2021-12-31,548.04,$13.55,40.45
2021-09-30,462.36,$13.15,35.16
2021-06-30,451.38,$12.40,36.4
2021-03-31,355.13,$12.33,28.8
2020-12-31,369.3,$12.40,29.78
2020-09-30,408.74,$11.67,35.03
2020-06-30,354.36,$11.23,31.56
2020-03-31,310.2,$10.43,29.74
2019-12-31,280.52,$9.56,29.34
2019-09-30,233.04,$9.06,25.72
2019-06-30,264.44,$8.96,29.51
2019-03-31,244.7,$8.55,28.62
2018-12-31,234.5,$8.35,28.08
2018-09-30,278.15,$7.82,35.57
2018-06-30,265.72,$7.05,37.69
2018-03-31,219.5,$6.59,33.31
2017-12-31,177.16,$5.85,30.28
2017-09-30,185.68,$5.24,35.44
2017-06-30,197.34,$5.02,39.31
2017-03-31,171.56,$4.68,36.66
2016-12-31,147.87,$4.60,32.15
2016-09-30,140.68,$3.79,37.12
2016-06-30,121.4,$3.64,33.35
2015-12-31,102.2,$3.47,29.45
2015-09-30,98.84,$3.14,31.48
2015-06-30,103.58,$3.36,30.83
2015-03-31,91.59,$3.18,28.8
2014-12-31,85.51,$3.04,28.13
2016-03-31,121.48,$2.90,41.89
2014-09-30,69.7,$2.79,24.98
2014-06-30,65.98,$2.69,24.53
2014-03-31,69.24,$2.59,26.73
2013-12-31,62.46,$2.47,25.29
2013-09-30,60.76,$2.33,26.08
2013-06-30,51.84,$2.24,23.14
2013-03-31,45.7,$2.14,21.36
2012-12-31,38.54,$1.90,20.28
2012-09-30,33.36,$1.78,18.74
2012-06-30,27.35,$1.70,16.09
2012-03-31,32.12,$1.63,19.71
2011-12-31,27.77,$1.71,16.24
2011-09-30,22.29,$1.58,14.11
2011-06-30,20.65,$1.49,13.86
2011-03-31,15.08,$1.46,10.33
2010-12-31,13.05,$1.44,9.06
2010-09-30,10.81,$1.46,7.41
2010-06-30,9.24,$1.50,6.16
2010-03-31,11.16,$1.38,8.09
2009-12-31,6.86,$1.38,4.97
