Tesla PE Ratio Historical Data,Tesla PE Ratio Historical Data,Tesla PE Ratio Historical Data,Tesla PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,179.24,,45.72
2024-03-31,175.79,$3.92,44.84
2023-12-31,248.48,$4.31,57.65
2023-09-30,250.22,$3.11,80.46
2023-06-30,261.77,$3.53,74.16
2023-03-31,207.46,$3.40,61.02
2022-12-31,123.18,$3.62,34.0
2022-09-30,265.25,$3.24,81.95
2022-06-30,224.47,$2.77,81.14
2022-03-31,359.2,$2.46,146.22
2021-12-31,352.26,$1.63,215.67
2021-09-30,258.49,$1.03,250.96
2021-06-30,226.57,$0.64,354.01
2021-03-31,222.64,$0.33,668.0
2020-12-31,235.22,$0.21,1127.63
2020-09-30,143.0,$0.17,861.98
2020-06-30,71.99,$0.13,562.84
2020-03-31,34.93,$-0.06,0.0
2019-12-31,27.89,$-0.34,0.0
2019-09-30,16.06,$-0.32,0.0
2019-06-30,14.9,$-0.26,0.0
2019-03-31,18.66,$-0.39,0.0
2018-12-31,22.19,$-0.39,0.0
2018-09-30,17.65,$-0.71,0.0
2018-06-30,22.86,$-1.07,0.0
2018-03-31,17.74,$-0.93,0.0
2017-12-31,20.76,$-0.79,0.0
2017-09-30,22.74,$-0.57,0.0
2017-06-30,24.11,$-0.31,0.0
2017-03-31,18.55,$-0.32,0.0
2016-12-31,14.25,$-0.32,0.0
2016-09-30,13.6,$-0.43,0.0
2016-06-30,14.15,$-0.56,0.0
2016-03-31,15.32,$-0.52,0.0
2015-12-31,16.0,$-0.46,0.0
2015-09-30,16.56,$-0.35,0.0
2015-06-30,17.88,$-0.28,0.0
2015-03-31,12.58,$-0.21,0.0
2014-12-31,14.83,$-0.16,0.0
2014-09-30,16.18,$-0.11,0.0
2014-06-30,16.0,$-0.09,0.0
2014-03-31,13.9,$-0.07,0.0
2013-12-31,10.03,$-0.04,0.0
2013-09-30,12.89,$-0.09,0.0
2013-06-30,7.16,$-0.13,0.0
2013-03-31,2.53,$-0.18,0.0
2012-12-31,2.26,$-0.25,0.0
2012-09-30,1.95,$-0.25,0.0
2012-06-30,2.09,$-0.22,0.0
2012-03-31,2.48,$-0.19,0.0
2011-12-31,1.9,$-0.17,0.0
2011-09-30,1.63,$-0.15,0.0
2011-06-30,1.94,$-0.14,0.0
2011-03-31,1.85,$-0.43,0.0
