Progressive PE Ratio Historical Data,Progressive PE Ratio Historical Data,Progressive PE Ratio Historical Data,Progressive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,203.91,,20.87
2024-03-31,206.72,$9.77,21.16
2023-12-31,158.41,$6.58,24.07
2023-09-30,138.44,$4.61,30.03
2023-06-30,131.46,$2.92,45.02
2023-03-31,141.98,$1.41,100.69
2022-12-31,128.63,$1.18,109.01
2022-09-30,115.15,$1.41,81.66
2022-06-30,115.11,$1.40,82.22
2022-03-31,112.76,$3.68,30.64
2021-12-31,101.44,$5.67,17.89
2021-09-30,87.92,$6.89,12.76
2021-06-30,95.43,$9.29,10.27
2021-03-31,92.81,$10.99,8.44
2020-12-31,91.54,$10.29,8.9
2020-09-30,87.55,$8.86,9.88
2020-06-30,73.99,$7.93,9.33
2019-12-31,64.68,$6.72,9.63
2019-09-30,68.94,$5.35,12.89
2019-06-30,71.24,$5.10,13.97
2019-03-31,64.17,$5.01,12.81
2018-12-31,53.7,$4.37,12.29
2020-03-31,68.11,$5.15,13.23
2018-09-30,63.23,$4.96,12.75
2018-06-30,52.65,$3.77,13.97
2018-03-31,54.23,$3.21,16.9
2017-12-31,49.1,$2.72,18.05
2017-09-30,42.21,$2.40,17.59
2017-06-30,38.44,$2.36,16.29
2017-03-31,34.16,$2.06,16.58
2016-12-31,30.39,$1.77,17.17
2016-09-30,26.96,$1.67,16.15
2016-06-30,28.68,$1.80,15.93
2016-03-31,30.08,$2.09,14.39
2015-12-31,26.45,$2.15,12.3
2015-09-30,25.49,$2.22,11.48
2015-06-30,23.15,$2.25,10.29
2015-03-31,22.62,$2.12,10.67
2014-12-31,21.87,$2.16,10.12
2014-09-30,20.48,$2.03,10.09
2014-06-30,20.55,$1.92,10.7
2014-03-31,19.62,$1.97,9.96
2013-12-31,20.76,$1.94,10.7
2013-09-30,20.73,$1.85,11.2
2013-06-30,19.35,$1.92,10.08
2013-03-31,19.24,$1.57,12.25
2012-12-31,15.86,$1.48,10.72
2012-09-30,14.9,$1.49,10.0
2012-06-30,14.96,$1.27,11.78
2012-03-31,16.65,$1.46,11.4
2011-12-31,13.74,$1.59,8.64
2011-09-30,12.51,$1.62,7.72
2011-06-30,15.06,$1.78,8.46
2011-03-31,14.88,$1.72,8.65
2010-12-31,13.72,$1.61,8.52
2010-09-30,13.71,$1.62,8.47
2010-06-30,12.3,$1.62,7.59
2010-03-31,12.54,$1.67,7.51
2009-12-31,11.71,$1.58,7.41
