Hologic PE Ratio Historical Data,Hologic PE Ratio Historical Data,Hologic PE Ratio Historical Data,Hologic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,73.8,,37.65
2024-03-31,77.96,$1.96,39.78
2023-12-31,71.45,$2.11,33.86
2023-09-30,69.4,$1.83,37.92
2023-06-30,80.97,$1.93,41.95
2023-03-31,80.7,$2.99,26.99
2022-12-31,74.81,$3.92,19.08
2022-09-30,64.52,$5.12,12.6
2022-06-30,69.3,$5.93,11.69
2022-03-31,76.82,$6.07,12.66
2021-12-31,76.56,$6.65,11.51
2021-09-30,73.81,$7.20,10.25
2021-06-30,66.72,$7.80,8.55
2021-03-31,74.38,$7.29,10.2
2020-12-31,72.83,$5.27,13.82
2020-09-30,66.47,$4.20,15.83
2020-06-30,57.0,$2.47,23.08
2020-03-31,35.1,$2.29,15.33
2019-12-31,52.21,$0.92,56.75
2019-09-30,50.49,$-0.15,0.0
2019-06-30,48.02,$-0.12,0.0
2019-03-31,48.4,$-0.06,0.0
2018-12-31,41.1,$-1.51,0.0
2018-09-30,40.98,$-0.42,0.0
2018-06-30,39.75,$-0.31,0.0
2018-03-31,37.36,$-0.51,0.0
2017-12-31,42.75,$3.79,11.28
2017-09-30,36.69,$2.67,13.74
2017-06-30,45.38,$2.68,16.93
2017-03-31,42.55,$2.71,15.7
2016-09-30,38.83,$1.16,33.47
2016-06-30,34.6,$0.92,37.61
2016-03-31,34.5,$0.92,37.5
2015-12-31,38.69,$0.78,49.6
2015-09-30,39.13,$0.66,59.29
2016-12-31,40.12,$0.67,59.88
2015-06-30,38.06,$0.47,80.98
2015-03-31,33.03,$0.41,80.55
2014-12-31,26.74,$0.18,148.56
2014-09-30,24.33,$0.06,405.5
2014-06-30,25.35,$-4.15,0.0
2014-03-31,21.5,$-4.23,0.0
2013-12-31,22.35,$-4.36,0.0
2013-09-30,20.65,$-4.33,0.0
2013-06-30,19.3,$-0.51,0.0
2013-03-31,22.6,$-0.38,0.0
2012-12-31,20.01,$-0.34,0.0
2012-09-30,20.22,$-0.27,0.0
2012-06-30,18.04,$0.12,150.33
2012-03-31,21.55,$0.17,126.76
2011-12-31,17.51,$0.63,27.79
2011-09-30,15.21,$0.59,25.78
2011-06-30,20.17,$-0.04,0.0
2011-03-31,22.2,$-0.08,0.0
2010-12-31,18.82,$-0.31,0.0
2010-09-30,16.01,$-0.22,0.0
2010-06-30,13.93,$0.47,29.64
2010-03-31,18.54,$-8.60,0.0
2009-09-30,16.34,$-8.58,0.0
