Raymond James Financial PE Ratio Historical Data,Raymond James Financial PE Ratio Historical Data,Raymond James Financial PE Ratio Historical Data,Raymond James Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,125.86,,15.22
2024-03-31,128.42,$8.27,15.53
2023-12-31,111.11,$7.98,13.92
2023-09-30,99.68,$7.96,12.52
2023-06-30,102.56,$7.92,12.95
2023-03-31,91.81,$7.59,12.1
2022-12-31,104.71,$7.18,14.58
2022-09-30,96.46,$6.98,13.82
2022-06-30,86.98,$7.02,12.39
2022-03-31,106.18,$7.09,14.97
2021-12-31,96.68,$7.25,13.34
2021-09-30,88.86,$6.63,13.4
2021-06-30,83.15,$5.61,14.81
2021-03-31,78.22,$4.98,15.71
2020-12-31,60.61,$4.11,14.76
2020-09-30,46.1,$3.88,11.88
2020-06-30,43.39,$4.12,10.53
2020-03-31,39.63,$4.50,8.81
2019-12-31,55.76,$4.91,11.36
2019-09-30,51.19,$4.82,10.62
2019-06-30,52.27,$4.61,11.33
2019-03-31,49.51,$4.50,11.0
2018-09-30,56.18,$3.83,14.68
2018-06-30,54.36,$3.53,15.41
2018-03-31,54.21,$3.32,16.33
2017-12-31,53.84,$2.75,19.6
2017-09-30,50.85,$2.89,17.61
2017-06-30,48.24,$2.81,17.19
2017-03-31,45.74,$2.56,17.87
2016-12-31,41.42,$2.63,15.77
2016-09-30,34.7,$2.44,14.22
2016-06-30,29.29,$2.23,13.11
2016-03-31,28.17,$2.26,12.46
2015-12-31,34.15,$2.19,15.57
2015-09-30,29.14,$2.29,12.74
2015-06-30,34.85,$2.33,14.98
2015-03-31,33.11,$2.29,14.48
2014-12-31,33.31,$2.25,14.78
2014-09-30,31.05,$2.21,14.03
2014-06-30,29.31,$2.13,13.74
2014-03-31,32.22,$1.96,16.44
2013-12-31,29.97,$1.85,16.17
2013-09-30,23.86,$1.72,13.87
2013-06-30,24.53,$1.57,15.59
2013-03-31,26.22,$1.55,16.95
2012-12-31,21.85,$1.52,14.37
2012-09-30,20.71,$1.47,14.12
2012-06-30,19.28,$1.44,13.39
2012-03-31,20.49,$1.33,15.44
2011-12-31,17.3,$1.42,12.18
2011-09-30,14.45,$1.51,9.55
2011-06-30,17.81,$1.52,11.72
2011-03-31,21.1,$1.61,13.13
2010-12-31,17.98,$1.48,12.15
2010-09-30,13.87,$1.27,10.89
2010-06-30,13.46,$1.13,11.88
2010-03-31,14.52,$1.03,14.05
2009-12-31,12.85,$0.75,17.06
2009-09-30,12.53,$1.64,7.64
