American Express PE Ratio Historical Data,American Express PE Ratio Historical Data,American Express PE Ratio Historical Data,American Express PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,238.18,,19.62
2024-03-31,226.97,$12.14,18.7
2023-12-31,186.15,$11.21,16.61
2023-09-30,147.64,$10.66,13.85
2023-06-30,171.19,$9.83,17.41
2023-03-31,161.5,$9.51,16.98
2022-12-31,144.14,$9.84,14.65
2022-09-30,131.14,$9.95,13.18
2022-06-30,134.74,$9.75,13.82
2022-03-31,180.57,$9.98,18.09
2021-12-31,157.59,$9.99,15.77
2021-09-30,160.97,$9.57,16.82
2021-06-30,158.36,$8.60,18.41
2021-03-31,135.56,$6.09,22.26
2020-12-31,115.12,$3.76,30.62
2020-09-30,95.07,$4.03,23.59
2020-06-30,89.87,$4.81,18.68
2020-03-31,80.36,$6.59,12.19
2019-12-31,116.46,$7.98,14.59
2019-09-30,110.23,$8.27,13.33
2019-06-30,114.68,$8.07,14.21
2019-03-31,101.19,$7.84,12.91
2018-12-31,87.88,$7.90,11.12
2018-09-30,97.82,$4.17,23.46
2018-06-30,89.71,$3.79,23.67
2018-03-31,85.07,$3.42,24.87
2017-12-31,90.26,$2.90,31.12
2017-09-30,81.9,$5.19,15.78
2017-06-30,75.98,$4.89,15.54
2017-03-31,71.06,$5.52,12.87
2016-12-31,66.26,$5.63,11.77
2016-09-30,57.0,$5.64,10.11
2016-06-30,54.08,$5.68,9.52
2016-03-31,54.12,$5.00,10.82
2015-12-31,61.03,$5.03,12.13
2015-09-30,64.81,$5.53,11.72
2015-06-30,67.95,$5.69,11.94
2015-03-31,68.04,$5.70,11.94
2014-12-31,80.54,$5.55,14.51
2014-09-30,75.55,$5.37,14.07
2014-06-30,81.65,$5.22,15.64
2014-03-31,77.29,$5.06,15.27
2013-12-31,77.69,$4.88,15.92
2013-09-30,64.47,$4.23,15.24
2013-06-30,63.62,$4.07,15.63
2013-03-31,57.24,$3.95,14.49
2012-12-31,48.6,$3.87,12.56
2012-09-30,47.91,$4.32,11.09
2012-06-30,48.88,$4.26,11.48
2012-03-31,48.43,$4.21,11.5
2011-12-31,39.33,$4.11,9.57
2011-09-30,37.28,$3.98,9.37
2011-06-30,42.93,$3.85,11.15
2011-03-31,37.26,$3.59,10.38
2010-12-31,35.24,$3.35,10.52
2010-09-30,34.34,$3.07,11.19
2010-06-30,32.44,$2.70,12.01
2010-03-31,33.56,$1.95,17.21
2009-12-31,32.68,$1.53,21.36
