Danaher PE Ratio Historical Data,Danaher PE Ratio Historical Data,Danaher PE Ratio Historical Data,Danaher PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,262.78,,44.54
2024-03-31,249.72,$5.90,42.33
2023-12-31,231.09,$6.39,36.16
2023-09-30,247.27,$7.93,31.18
2023-06-30,239.19,$8.52,28.07
2023-03-31,250.91,$9.28,27.04
2022-12-31,263.94,$9.65,27.35
2022-09-30,256.61,$9.05,28.36
2022-06-30,251.63,$8.49,29.64
2022-03-31,290.86,$8.64,33.66
2021-12-31,325.96,$8.62,37.81
2021-09-30,301.42,$7.89,38.2
2021-06-30,265.52,$7.51,35.36
2021-03-31,222.52,$6.35,35.04
2020-12-31,219.4,$4.87,45.05
2020-09-30,212.51,$4.94,43.02
2020-06-30,174.36,$4.67,37.34
2020-03-31,136.33,$4.40,30.98
2019-12-31,150.98,$4.05,37.28
2019-09-30,141.92,$3.37,42.11
2019-06-30,140.27,$3.41,41.13
2019-03-31,129.42,$3.39,38.18
2018-12-31,100.95,$3.73,27.07
2018-09-30,106.21,$3.89,27.3
2018-06-30,96.31,$3.77,25.55
2018-03-31,95.41,$3.61,26.43
2017-12-31,90.3,$3.53,25.58
2017-09-30,83.32,$3.39,24.58
2017-06-30,81.84,$3.14,26.06
2017-03-31,82.81,$3.29,25.17
2016-12-31,75.24,$3.66,20.56
2016-09-30,75.65,$3.58,21.13
2016-06-30,73.78,$5.03,14.67
2016-03-31,69.18,$5.06,13.67
2015-12-31,67.62,$4.76,14.21
2015-09-30,61.95,$4.69,13.21
2015-06-30,62.12,$3.63,17.11
2015-03-31,61.53,$3.61,17.04
2014-12-31,62.01,$3.63,17.08
2014-09-30,54.91,$3.82,14.37
2014-06-30,56.82,$3.71,15.32
2014-03-31,54.06,$3.63,14.89
2013-12-31,55.57,$3.80,14.62
2013-09-30,49.89,$3.58,13.93
2013-06-30,45.54,$3.51,12.97
2013-03-31,44.69,$3.48,12.84
2012-12-31,40.18,$3.36,11.96
2012-09-30,39.62,$3.27,12.12
2012-06-30,37.4,$3.24,11.54
2012-03-31,40.2,$3.34,12.04
2011-12-31,33.75,$3.11,10.85
2011-09-30,30.07,$3.00,10.02
2011-06-30,37.98,$3.21,11.83
2011-03-31,37.18,$2.82,13.18
2010-12-31,33.78,$2.64,12.82
2010-09-30,29.07,$2.35,12.4
2010-06-30,26.56,$1.92,13.83
2010-03-31,28.57,$1.82,15.74
2009-12-31,26.87,$1.73,15.53
