CenterPoint Energy PE Ratio Historical Data,CenterPoint Energy PE Ratio Historical Data,CenterPoint Energy PE Ratio Historical Data,CenterPoint Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,29.51,,20.78
2024-03-31,28.3,$1.42,19.93
2023-12-31,28.17,$1.36,20.72
2023-09-30,26.29,$1.25,21.03
2023-06-30,28.35,$1.15,24.65
2023-03-31,28.46,$1.26,22.59
2022-12-31,28.78,$1.59,18.1
2022-09-30,26.88,$2.41,11.15
2022-06-30,28.06,$2.43,11.55
2022-03-31,28.91,$2.52,11.47
2021-12-31,26.17,$2.26,11.58
2021-09-30,22.92,$1.52,15.08
2021-06-30,22.7,$1.33,17.07
2021-03-31,20.84,$1.07,19.47
2020-12-31,19.76,$-1.93,0.0
2020-09-30,17.56,$-1.95,0.0
2020-06-30,16.82,$-1.61,0.0
2020-03-31,13.79,$-1.39,0.0
2019-12-31,24.08,$1.33,18.11
2019-09-30,26.34,$1.26,20.91
2019-06-30,24.99,$1.14,21.92
2019-03-31,26.54,$0.64,41.47
2018-12-31,24.18,$0.74,32.67
2018-09-30,23.45,$3.55,6.6
2018-06-30,23.27,$3.59,6.48
2018-03-31,22.76,$4.07,5.59
2017-12-31,23.31,$4.13,5.64
2017-09-30,23.79,$1.37,17.36
2017-06-30,22.09,$1.39,15.89
2017-03-31,22.03,$1.07,20.59
2016-12-31,19.49,$0.99,19.69
2016-09-30,18.17,$-0.42,0.0
2016-06-30,18.56,$-1.74,0.0
2016-03-31,15.99,$-1.55,0.0
2015-12-31,13.83,$-1.61,0.0
2015-09-30,13.4,$-0.02,0.0
2015-06-30,13.96,$1.22,11.44
2015-03-31,14.79,$1.29,11.46
2014-12-31,16.78,$1.42,11.82
2014-09-30,17.36,$1.27,13.67
2014-06-30,17.94,$1.29,13.91
2014-03-31,16.48,$0.81,20.34
2013-12-31,15.96,$0.72,22.17
2013-09-30,16.37,$0.77,21.26
2013-06-30,15.9,$0.44,36.14
2013-03-31,16.08,$0.96,16.75
2012-12-31,12.79,$0.96,13.32
2012-09-30,14.01,$0.92,15.23
2012-06-30,13.46,$3.17,4.25
2012-03-31,12.71,$3.16,4.02
2011-12-31,12.81,$3.17,4.04
2011-09-30,12.39,$3.19,3.88
2011-06-30,12.09,$1.21,9.99
2011-03-31,10.86,$1.13,9.61
2010-12-31,9.6,$1.07,8.97
2010-09-30,9.48,$1.05,9.03
2010-06-30,7.83,$1.07,7.32
2010-03-31,8.43,$1.11,7.6
2009-12-31,8.4,$1.01,8.32
