Oracle PE Ratio Historical Data,Oracle PE Ratio Historical Data,Oracle PE Ratio Historical Data,Oracle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,122.91,,32.43
2024-02-29,111.32,$3.79,29.37
2023-11-30,115.39,$3.62,31.88
2023-08-31,119.11,$3.36,35.45
2023-05-31,104.45,$3.06,34.13
2023-02-28,85.8,$3.03,28.32
2022-11-30,81.21,$3.19,25.46
2022-08-31,72.16,$2.10,34.36
2022-05-31,69.67,$2.40,29.03
2022-02-28,73.31,$2.61,28.09
2021-11-30,87.24,$3.45,25.29
2021-08-31,85.4,$4.71,18.13
2021-05-31,75.17,$4.57,16.45
2021-02-28,61.32,$4.19,14.64
2020-11-30,54.66,$3.30,16.56
2020-08-31,53.97,$3.19,16.92
2020-05-31,50.51,$3.10,16.29
2020-02-29,46.24,$3.18,14.54
2019-11-30,52.26,$3.15,16.59
2019-08-31,48.25,$3.07,15.72
2019-05-31,46.7,$3.26,14.33
2019-02-28,47.9,$1.21,39.59
2018-11-30,44.63,$0.97,46.01
2018-05-31,42.6,$0.88,48.41
2018-02-28,46.01,$0.82,56.11
2017-11-30,44.37,$2.37,18.72
2017-08-31,45.34,$2.38,19.05
2017-05-31,40.74,$2.34,17.41
2018-08-31,44.47,$2.01,22.12
2017-02-28,38.06,$2.10,18.13
2016-11-30,35.78,$2.07,17.28
2016-08-31,36.55,$2.10,17.41
2016-05-31,35.52,$2.07,17.16
2016-02-29,32.38,$2.03,15.95
2015-11-30,34.16,$2.09,16.35
2015-08-31,32.39,$2.14,15.13
2015-05-31,37.83,$2.22,17.04
2015-02-28,37.99,$2.40,15.83
2014-11-30,36.66,$2.40,15.28
2014-08-31,35.79,$2.40,14.91
2014-05-31,36.11,$2.39,15.11
2014-02-28,33.51,$2.39,14.02
2013-11-30,30.14,$2.35,12.83
2013-08-31,27.11,$2.32,11.69
2013-05-31,28.64,$2.26,12.67
2013-02-28,29.03,$2.15,13.5
2012-11-30,27.12,$2.12,12.79
2012-08-31,26.63,$2.02,13.18
2012-05-31,22.22,$1.97,11.28
2012-02-29,24.51,$1.90,12.9
2011-11-30,26.21,$1.82,14.4
2011-08-31,23.42,$1.76,13.31
2011-05-31,28.5,$1.86,15.32
2011-02-28,27.35,$1.47,18.61
2010-11-30,22.45,$1.35,16.63
2010-05-31,18.66,$1.20,15.55
2010-02-28,20.34,$1.12,18.16
2009-11-30,18.18,$1.16,15.67
2009-08-31,17.97,$1.13,15.91
