Fifth Third Bancorp PE Ratio Historical Data,Fifth Third Bancorp PE Ratio Historical Data,Fifth Third Bancorp PE Ratio Historical Data,Fifth Third Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,37.25,,11.83
2024-03-31,37.21,$3.15,11.81
2023-12-31,34.16,$3.23,10.58
2023-09-30,24.84,$3.52,7.06
2023-06-30,25.35,$3.52,7.2
2023-03-31,25.45,$3.46,7.35
2022-12-31,30.95,$3.36,9.21
2022-09-30,29.85,$3.25,9.18
2022-06-30,31.06,$3.31,9.38
2022-03-31,39.44,$3.49,11.3
2021-12-31,39.64,$3.74,10.6
2021-09-30,38.37,$3.62,10.6
2021-06-30,34.32,$3.43,10.01
2021-03-31,33.39,$2.72,12.27
2020-12-31,24.41,$1.83,13.34
2020-09-30,18.45,$2.01,9.18
2020-06-30,16.69,$1.94,8.6
2020-03-31,12.67,$2.28,5.56
2019-12-31,25.79,$3.36,7.67
2019-09-30,22.79,$3.04,7.5
2019-06-30,23.02,$2.94,7.83
2019-03-31,20.63,$3.17,6.51
2018-12-31,19.08,$2.72,7.01
2018-09-30,22.43,$3.43,6.54
2018-06-30,22.91,$3.27,7.01
2017-12-31,23.94,$2.85,8.4
2017-09-30,21.97,$2.67,8.23
2017-06-30,20.26,$2.29,8.85
2017-03-31,19.72,$2.49,7.92
2016-12-31,20.82,$2.51,8.3
2018-03-31,25.18,$2.42,10.41
2016-09-30,15.71,$2.24,7.02
2016-06-30,13.43,$2.04,6.58
2016-03-31,12.64,$2.00,6.32
2015-12-31,15.1,$2.04,7.4
2015-09-30,14.12,$1.68,8.41
2015-06-30,15.44,$1.62,9.53
2015-03-31,13.89,$1.75,7.94
2014-12-31,14.91,$1.67,8.93
2014-09-30,14.56,$1.67,8.72
2014-06-30,15.43,$1.75,8.82
2014-03-31,16.49,$1.92,8.59
2013-12-31,15.03,$2.02,7.44
2013-09-30,12.82,$2.02,6.35
2013-06-30,12.74,$1.93,6.6
2013-03-31,11.44,$1.67,6.85
2012-12-31,10.59,$1.66,6.38
2012-09-30,10.73,$1.56,6.88
2012-06-30,9.21,$1.58,5.83
2012-03-31,9.6,$1.53,6.27
2011-12-31,8.64,$1.18,7.32
2011-09-30,6.82,$1.18,5.78
2011-06-30,8.54,$1.00,8.54
2011-03-31,9.26,$0.81,11.43
2010-12-31,9.74,$0.62,15.71
2010-09-30,7.98,$0.09,88.66
2010-06-30,8.14,$-0.33,0.0
2010-03-31,8.98,$0.66,13.61
2009-12-31,6.45,$0.71,9.09
