Monster Beverage PE Ratio Historical Data,Monster Beverage PE Ratio Historical Data,Monster Beverage PE Ratio Historical Data,Monster Beverage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,52.7,,33.14
2024-03-31,59.28,$1.59,37.28
2023-12-31,57.61,$1.55,37.17
2023-09-30,52.95,$1.49,35.66
2023-06-30,57.44,$1.36,42.39
2023-03-31,54.01,$1.22,44.27
2022-12-31,50.77,$1.12,45.53
2022-09-30,43.48,$1.13,38.48
2022-06-30,46.35,$1.15,40.48
2022-03-31,39.95,$1.27,31.58
2021-12-31,48.02,$1.29,37.37
2021-09-30,44.42,$1.43,31.17
2021-06-30,45.68,$1.44,31.83
2021-03-31,45.55,$1.36,33.61
2020-12-31,46.24,$1.32,35.03
2020-09-30,40.1,$1.12,35.96
2020-06-30,34.66,$1.07,32.54
2020-03-31,28.13,$1.04,27.18
2019-12-31,31.78,$1.02,31.31
2019-09-30,29.03,$1.00,29.18
2019-06-30,31.92,$0.96,33.24
2019-03-31,27.29,$0.94,29.19
2018-12-31,24.61,$0.87,28.29
2018-09-30,29.14,$0.85,34.49
2018-06-30,28.65,$0.80,35.81
2017-12-31,31.65,$0.72,44.26
2017-09-30,27.63,$0.69,40.04
2017-06-30,24.84,$0.69,36.0
2017-03-31,23.09,$0.66,34.98
2016-12-31,22.17,$0.66,33.85
2018-03-31,28.61,$0.64,44.93
2016-09-30,24.47,$0.56,43.82
2016-06-30,26.79,$0.53,50.22
2016-03-31,22.23,$0.59,37.46
2015-12-31,24.83,$0.47,53.2
2015-09-30,22.52,$0.48,47.42
2015-06-30,22.34,$0.45,49.45
2015-03-31,23.07,$0.38,61.23
2014-12-31,18.06,$0.46,38.97
2014-09-30,15.28,$0.42,36.66
2014-06-30,11.84,$0.39,30.49
2014-03-31,11.58,$0.36,32.46
2013-12-31,11.3,$0.33,34.58
2013-09-30,8.71,$0.32,27.36
2013-06-30,10.14,$0.31,32.88
2013-03-31,7.96,$0.30,26.23
2012-12-31,8.81,$0.31,28.42
2012-09-30,9.01,$0.30,29.72
2012-06-30,11.87,$0.30,39.79
2012-03-31,10.35,$0.27,37.64
2011-12-31,7.68,$0.26,30.02
2011-09-30,7.27,$0.24,30.1
2011-06-30,6.75,$0.23,29.54
2011-03-31,5.02,$0.21,23.8
2010-12-31,4.36,$0.21,20.83
2010-09-30,3.89,$0.22,18.07
2010-06-30,3.26,$0.21,15.9
2009-12-31,3.2,$0.18,17.37
2009-09-30,3.06,$0.17,18.46
