Pfizer PE Ratio Historical Data,Pfizer PE Ratio Historical Data,Pfizer PE Ratio Historical Data,Pfizer PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,28.88,,0.0
2024-03-31,27.34,$-0.06,0.0
2023-12-31,27.94,$0.36,77.61
2023-09-30,31.75,$1.83,17.35
2023-06-30,34.72,$3.76,9.23
2023-03-31,38.2,$5.08,7.52
2022-12-31,47.54,$5.48,8.67
2022-09-30,40.25,$5.20,7.74
2022-06-30,47.85,$5.11,9.36
2022-03-31,46.87,$4.36,10.75
2021-12-31,53.07,$3.85,13.78
2021-09-30,38.31,$3.36,11.4
2021-06-30,34.57,$2.33,14.84
2021-03-31,31.67,$1.96,16.16
2020-12-31,31.83,$1.71,18.61
2020-09-30,29.78,$1.55,19.21
2020-06-30,26.28,$2.52,10.43
2020-03-31,25.96,$2.80,9.27
2019-12-31,30.85,$2.87,10.75
2019-09-30,28.01,$2.86,9.8
2019-06-30,33.46,$2.19,15.28
2019-03-31,32.52,$1.95,16.67
2018-12-31,33.14,$1.86,17.82
2018-09-30,33.2,$3.95,8.41
2018-06-30,27.1,$3.73,7.27
2018-03-31,26.25,$3.59,7.31
2017-12-31,26.55,$3.51,7.56
2017-09-30,25.93,$1.62,16.01
2017-06-30,24.16,$1.36,17.77
2017-03-31,24.37,$1.18,20.66
2016-12-31,22.91,$1.16,19.75
2016-09-30,23.65,$1.13,20.93
2016-06-30,24.38,$1.26,19.35
2016-03-31,20.34,$1.35,15.07
2015-12-31,21.93,$1.24,17.69
2015-09-30,21.17,$1.33,15.92
2015-06-30,22.42,$1.41,15.9
2015-03-31,23.07,$1.44,16.02
2014-12-31,20.48,$1.42,14.42
2014-09-30,19.27,$1.62,11.9
2014-06-30,19.17,$1.59,12.06
2014-03-31,20.57,$3.12,6.59
2013-12-31,19.45,$3.14,6.19
2013-09-30,18.1,$3.60,5.03
2013-06-30,17.5,$3.64,4.81
2013-03-31,17.88,$2.09,8.56
2012-12-31,15.41,$1.95,7.9
2012-09-30,15.13,$1.29,11.73
2012-06-30,13.87,$1.34,10.35
2012-03-31,13.53,$1.24,10.91
2011-12-31,12.8,$1.28,10.0
2011-09-30,10.35,$1.45,7.14
2011-06-30,11.93,$1.08,11.04
2011-03-31,11.65,$1.06,10.99
2010-12-31,9.94,$1.03,9.65
2010-09-30,9.64,$0.77,12.52
2010-06-30,7.92,$1.09,7.27
2010-03-31,9.43,$1.12,8.42
2009-12-31,9.91,$1.27,7.8
