Motorola Solutions PE Ratio Historical Data,Motorola Solutions PE Ratio Historical Data,Motorola Solutions PE Ratio Historical Data,Motorola Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,364.6,,45.07
2024-03-31,354.98,$8.09,43.88
2023-12-31,312.2,$9.93,31.44
2023-09-30,270.62,$9.89,27.36
2023-06-30,290.64,$8.82,32.95
2023-03-31,282.66,$8.00,35.33
2022-12-31,253.75,$7.93,32.0
2022-09-30,219.8,$6.80,32.32
2022-06-30,205.03,$6.93,29.59
2022-03-31,236.0,$7.29,32.37
2021-12-31,263.79,$7.16,36.84
2021-09-30,224.87,$7.23,31.1
2021-06-30,209.28,$6.65,31.47
2021-03-31,180.88,$5.74,31.51
2020-12-31,162.93,$5.45,29.9
2020-09-30,149.6,$4.47,33.47
2020-06-30,133.14,$4.80,27.74
2020-03-31,125.71,$5.20,24.18
2019-12-31,151.72,$4.94,30.71
2019-09-30,159.81,$5.99,26.68
2019-06-30,155.83,$5.91,26.37
2019-03-31,130.77,$5.78,22.62
2018-12-31,106.7,$5.61,19.02
2018-09-30,120.18,$-0.39,0.0
2018-06-30,107.02,$-0.57,0.0
2018-03-31,96.4,$-0.84,0.0
2017-12-31,82.31,$-1.08,0.0
2017-09-30,76.89,$3.91,19.67
2017-06-30,78.15,$3.27,23.9
2017-03-31,77.26,$2.59,29.83
2016-12-31,73.85,$3.71,19.91
2016-06-30,58.13,$2.85,20.4
2016-03-31,66.3,$2.92,22.71
2015-12-31,59.61,$3.16,18.86
2015-09-30,59.19,$2.46,24.06
2015-06-30,49.39,$2.48,19.91
2015-03-31,57.09,$5.02,11.37
2014-12-31,57.15,$5.17,11.05
2014-09-30,53.62,$5.61,9.56
2014-06-30,56.1,$6.18,9.08
2014-03-31,53.93,$3.90,13.83
2013-12-31,56.35,$4.09,13.78
2013-09-30,49.33,$3.96,12.46
2013-06-30,47.7,$3.52,13.55
2013-03-31,52.67,$3.19,16.51
2012-12-31,45.61,$3.00,15.2
2012-09-30,41.21,$2.38,17.32
2012-06-30,39.02,$2.04,19.13
2012-03-31,41.03,$2.43,16.88
2011-12-31,37.2,$3.38,11.01
2011-09-30,33.52,$3.68,9.11
2011-06-30,36.63,$5.61,6.53
2011-03-31,35.56,$5.10,6.97
2010-12-31,29.17,$5.13,5.69
2010-09-30,27.44,$4.69,5.85
2010-06-30,20.97,$2.45,8.56
2010-03-31,22.58,$2.03,11.12
2009-12-31,24.96,$-0.14,0.0
2009-09-30,27.63,$0.57,48.46
