Bio-Rad Laboratories PE Ratio Historical Data,Bio-Rad Laboratories PE Ratio Historical Data,Bio-Rad Laboratories PE Ratio Historical Data,Bio-Rad Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,287.21,,0.0
2024-03-31,345.87,$-10.36,0.0
2023-12-31,322.89,$-21.49,0.0
2023-09-30,358.45,$-5.85,0.0
2023-06-30,379.12,$-15.01,0.0
2023-03-31,479.02,$-6.54,0.0
2022-12-31,420.49,$-121.43,0.0
2022-09-30,417.14,$-201.80,0.0
2022-06-30,495.0,$-66.32,0.0
2022-03-31,563.23,$-4.88,0.0
2021-12-31,755.57,$140.07,5.39
2021-09-30,745.95,$220.47,3.38
2021-06-30,644.29,$134.15,4.8
2021-03-31,571.17,$135.98,4.2
2020-12-31,582.94,$126.32,4.61
2020-09-30,515.46,$116.82,4.41
2020-06-30,451.49,$64.50,7.0
2020-03-31,350.56,$52.21,6.71
2019-12-31,370.03,$58.23,6.35
2019-09-30,332.74,$12.04,27.64
2019-06-30,312.59,$29.61,10.56
2019-03-31,305.68,$18.62,16.42
2018-12-31,232.22,$11.65,19.93
2018-09-30,312.99,$41.85,7.48
2018-06-30,288.54,$33.87,8.52
2018-03-31,250.08,$25.17,9.94
2017-12-31,238.67,$3.81,62.64
2017-09-30,222.22,$0.79,281.29
2017-06-30,226.31,$0.50,452.62
2017-03-31,199.34,$0.94,212.06
2016-12-31,182.28,$0.95,191.87
2016-09-30,163.81,$3.33,49.19
2016-06-30,143.02,$3.30,43.34
2016-03-31,136.72,$3.66,37.36
2015-12-31,138.66,$3.85,36.02
2015-09-30,134.31,$3.51,38.26
2015-06-30,150.61,$3.31,45.5
2015-03-31,135.18,$3.43,39.41
2014-12-31,120.56,$3.05,39.53
2014-09-30,113.4,$2.75,41.24
2014-06-30,119.71,$2.11,56.73
2014-03-31,128.12,$2.22,57.71
2013-12-31,123.61,$3.64,33.96
2013-09-30,117.56,$4.08,28.81
2013-06-30,112.2,$6.02,18.64
2012-12-31,105.05,$5.91,17.77
2012-09-30,106.72,$6.34,16.83
2012-06-30,100.01,$5.54,18.05
2012-03-31,103.69,$5.46,18.99
2011-12-31,96.04,$5.78,16.62
2013-03-31,126.0,$4.86,25.93
2011-09-30,90.77,$6.59,13.77
2011-06-30,119.36,$6.57,18.17
2011-03-31,120.14,$6.51,18.45
2010-12-31,103.85,$6.59,15.76
2010-09-30,90.51,$5.53,16.37
2010-06-30,86.49,$5.32,16.26
2010-03-31,103.52,$5.34,19.39
2009-12-31,96.46,$5.20,18.55
