Xylem PE Ratio Historical Data,Xylem PE Ratio Historical Data,Xylem PE Ratio Historical Data,Xylem PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,144.25,,53.03
2023-12-31,114.03,$2.72,41.92
2023-09-30,90.47,$2.44,37.08
2023-06-30,111.57,$2.44,45.73
2023-03-31,103.38,$2.06,50.18
2022-12-31,108.83,$2.14,50.85
2024-03-31,129.24,$1.77,73.02
2022-09-30,85.75,$1.76,48.72
2022-06-30,76.49,$2.32,32.97
2022-03-31,83.11,$2.32,35.82
2021-12-31,116.51,$2.35,49.58
2021-09-30,119.9,$2.55,47.02
2021-06-30,116.05,$2.12,54.74
2021-03-31,101.51,$1.67,60.78
2020-12-31,97.96,$1.40,69.97
2020-09-30,80.71,$1.23,65.62
2020-06-30,62.13,$1.39,44.7
2020-03-31,62.06,$1.99,31.18
2019-12-31,74.84,$2.21,33.86
2019-09-30,75.41,$2.80,26.93
2019-06-30,78.97,$3.16,24.99
2019-03-31,74.38,$3.03,24.55
2018-12-31,62.58,$3.03,20.65
2018-09-30,74.68,$2.19,34.1
2018-06-30,62.83,$2.05,30.65
2018-03-31,71.51,$1.96,36.49
2017-12-31,63.23,$1.81,34.93
2017-09-30,57.9,$1.82,31.82
2017-06-30,51.1,$1.63,31.35
2016-12-31,45.32,$1.45,31.26
2016-09-30,47.85,$1.80,26.58
2016-06-30,40.61,$1.70,23.89
2016-03-31,37.07,$1.79,20.71
2015-12-31,32.94,$1.83,18.0
2017-03-31,46.14,$1.55,29.77
2015-09-30,29.54,$1.76,16.78
2015-06-30,33.19,$1.86,17.84
2015-03-31,31.23,$1.92,16.27
2014-12-31,33.82,$1.83,18.48
2014-09-30,31.41,$1.68,18.7
2014-06-30,34.47,$1.49,23.13
2014-03-31,32.02,$1.27,25.21
2013-12-31,30.31,$1.23,24.65
2013-09-30,24.37,$1.25,19.5
2013-06-30,23.4,$1.24,18.87
2013-03-31,23.84,$1.47,16.22
2012-12-31,23.35,$1.59,14.68
2012-09-30,21.58,$1.48,14.58
