3M PE Ratio Historical Data,3M PE Ratio Historical Data,3M PE Ratio Historical Data,3M PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,99.67,,0.0
2024-03-31,88.52,$-12.72,0.0
2023-12-31,89.77,$-12.63,0.0
2023-09-30,75.69,$-13.35,0.0
2023-06-30,79.72,$-2.84,0.0
2023-03-31,82.48,$9.65,8.55
2022-12-31,92.86,$10.15,9.15
2022-09-30,84.57,$11.48,7.37
2022-06-30,98.04,$7.16,13.69
2022-03-31,111.66,$9.61,11.62
2021-12-31,131.9,$10.12,13.03
2021-09-30,129.19,$10.19,12.68
2021-06-30,145.17,$10.17,14.27
2021-03-31,139.8,$9.80,14.27
2020-12-31,125.77,$8.69,14.47
2020-09-30,114.28,$9.03,12.66
2020-06-30,110.29,$8.52,12.94
2019-12-31,122.36,$7.81,15.67
2019-09-30,113.04,$8.42,13.42
2019-06-30,118.1,$7.92,14.91
2019-03-31,140.35,$8.58,16.36
2018-12-31,127.8,$10.14,12.6
2020-03-31,95.55,$8.85,10.8
2018-09-30,140.37,$7.48,18.77
2018-06-30,130.18,$7.23,18.01
2018-03-31,144.29,$6.74,21.41
2017-12-31,153.81,$7.92,19.42
2017-09-30,136.48,$8.95,15.25
2017-06-30,134.58,$8.77,15.35
2017-03-31,122.94,$8.27,14.87
2016-12-31,114.01,$8.16,13.97
2016-09-30,111.79,$7.94,14.08
2016-06-30,110.41,$7.84,14.08
2016-03-31,104.36,$7.78,13.41
2015-12-31,93.66,$7.58,12.36
2015-09-30,87.58,$7.73,11.33
2015-06-30,94.65,$7.66,12.36
2015-03-31,100.55,$7.55,13.32
2014-12-31,99.54,$7.49,13.29
2014-09-30,85.37,$7.30,11.69
2014-06-30,85.8,$7.10,12.08
2014-03-31,80.77,$6.90,11.71
2013-12-31,82.96,$6.72,12.35
2013-09-30,70.29,$6.51,10.8
2013-06-30,64.01,$6.38,10.03
2013-03-31,61.87,$6.33,9.77
2012-12-31,53.71,$6.31,8.51
2012-09-30,53.11,$6.25,8.5
2012-06-30,51.16,$6.12,8.36
2012-03-31,50.59,$6.06,8.35
2011-12-31,46.03,$5.96,7.72
2011-09-30,40.15,$5.88,6.83
2011-06-30,52.69,$5.89,8.95
2011-03-31,51.64,$5.83,8.86
2010-12-31,47.38,$5.63,8.42
2010-09-30,47.31,$5.66,8.36
2010-06-30,42.83,$5.48,7.82
2010-03-31,45.03,$5.06,8.9
2009-12-31,44.25,$4.51,9.81
