Target PE Ratio Historical Data,Target PE Ratio Historical Data,Target PE Ratio Historical Data,Target PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,145.23,,21.11
2024-04-30,159.87,$6.88,23.24
2024-01-31,137.12,$8.93,15.35
2023-10-31,108.15,$7.84,13.8
2023-07-31,132.06,$7.28,18.14
2023-04-30,151.61,$5.87,25.83
2023-01-31,164.4,$5.98,27.49
2022-10-31,155.93,$7.30,21.36
2022-07-31,154.18,$8.80,17.52
2022-04-30,214.87,$12.06,17.82
2022-01-31,206.25,$14.07,14.66
2021-10-31,242.1,$13.59,17.81
2021-07-31,242.58,$12.56,19.31
2021-04-30,191.96,$12.26,15.66
2021-01-31,167.2,$8.65,19.33
2020-10-31,139.9,$7.55,18.53
2020-07-31,115.12,$6.93,16.61
2020-04-30,99.82,$5.40,18.49
2020-01-31,100.17,$6.37,15.73
2019-10-31,96.14,$6.26,15.36
2019-07-31,77.1,$6.04,12.76
2019-04-30,68.47,$5.71,11.99
2019-01-31,64.0,$5.51,11.62
2018-10-31,72.65,$6.01,12.09
2018-07-31,69.55,$5.72,12.16
2018-04-30,62.06,$5.45,11.39
2018-01-31,63.75,$5.35,11.92
2017-10-31,49.53,$4.78,10.36
2017-07-31,47.02,$4.96,9.48
2017-04-30,45.84,$4.90,9.36
2017-01-31,52.44,$5.99,8.75
2016-10-31,55.43,$5.41,10.25
2016-07-31,60.28,$5.53,10.9
2016-01-31,57.06,$5.35,10.67
2015-10-31,60.34,$-1.07,0.0
2015-07-31,63.54,$-0.89,0.0
2015-04-30,60.8,$-1.52,0.0
2015-01-31,56.39,$-2.13,0.0
2016-04-30,63.14,$2.63,24.01
2014-10-31,46.99,$2.39,19.66
2014-07-31,44.9,$2.38,18.86
2014-04-30,46.18,$2.96,15.6
2014-01-31,42.04,$3.07,13.69
2013-10-31,47.78,$3.73,12.81
2013-07-31,52.21,$4.15,12.58
2013-04-30,51.44,$4.26,12.08
2013-01-31,43.79,$4.53,9.67
2012-10-31,45.94,$4.51,10.19
2012-07-31,43.46,$4.37,9.95
2012-04-30,41.29,$4.34,9.51
2012-01-31,36.0,$4.29,8.39
2011-10-31,38.58,$4.29,8.99
2011-07-31,36.06,$4.21,8.57
2011-04-30,34.22,$4.10,8.35
2011-01-31,38.03,$4.01,9.48
2010-10-31,35.87,$3.80,9.44
2010-07-31,35.27,$3.64,9.69
2010-04-30,38.96,$3.51,11.1
2010-01-31,35.01,$3.42,10.24
2009-10-31,32.95,$2.87,11.48
