American Tower PE Ratio Historical Data,American Tower PE Ratio Historical Data,American Tower PE Ratio Historical Data,American Tower PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,185.93,,42.07
2024-03-31,195.81,$4.42,44.3
2023-12-31,213.94,$3.18,67.28
2023-09-30,160.07,$1.53,104.62
2023-06-30,188.77,$2.07,91.19
2023-03-31,195.85,$3.00,65.28
2022-12-31,203.06,$3.84,52.88
2022-09-30,202.74,$6.30,32.18
2022-06-30,241.35,$6.08,39.7
2022-03-31,234.51,$5.78,40.57
2021-12-31,273.04,$5.67,48.16
2021-09-30,246.52,$5.50,44.82
2021-06-30,249.72,$4.96,50.35
2021-03-31,218.83,$4.31,50.77
2020-12-31,205.47,$3.79,54.21
2020-09-30,220.06,$4.23,52.02
2020-06-30,234.25,$4.31,54.35
2020-03-31,195.61,$4.27,45.81
2019-12-31,206.45,$4.23,48.81
2019-09-30,197.77,$3.59,55.09
2019-06-30,182.07,$3.30,55.17
2019-03-31,173.95,$3.03,57.41
2018-12-31,139.64,$2.77,50.41
2018-09-30,127.58,$2.66,47.96
2018-06-30,125.89,$2.52,49.96
2018-03-31,125.52,$2.63,47.73
2017-12-31,123.22,$2.67,46.15
2017-09-30,117.46,$2.63,44.66
2017-06-30,113.17,$2.49,45.45
2017-03-31,102.92,$2.06,49.96
2016-12-31,89.49,$1.97,45.43
2016-09-30,95.45,$1.98,48.21
2016-06-30,95.22,$1.61,59.14
2016-03-31,84.97,$1.54,55.17
2015-12-31,80.47,$1.41,57.07
2015-09-30,72.64,$1.35,53.81
2015-06-30,76.64,$1.67,45.89
2015-03-31,76.64,$1.95,39.3
2014-12-31,80.47,$2.01,40.03
2014-09-30,75.93,$1.84,41.27
2014-06-30,72.69,$1.79,40.61
2014-03-31,65.63,$1.46,44.95
2013-12-31,63.99,$1.38,46.37
2013-09-30,59.2,$1.47,40.27
2013-06-30,58.22,$1.60,36.39
2013-03-31,60.79,$1.47,41.35
2012-12-31,61.06,$1.60,38.16
2012-09-30,56.24,$1.77,31.77
2012-06-30,54.89,$1.15,47.73
2012-03-31,49.16,$1.32,37.24
2011-12-31,46.81,$0.99,47.29
2011-09-30,41.72,$0.69,60.46
2011-06-30,40.58,$0.96,42.27
2011-03-31,40.18,$0.92,43.68
2010-12-31,40.04,$0.85,47.11
2010-09-30,39.75,$0.81,49.07
2010-06-30,34.51,$0.72,47.93
2009-12-31,33.51,$0.62,54.04
2009-09-30,28.23,$0.70,40.32
