PDD Holdings PE Ratio Historical Data,PDD Holdings PE Ratio Historical Data,PDD Holdings PE Ratio Historical Data,PDD Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,157.57,,27.5
2023-12-31,146.31,$5.73,25.53
2023-09-30,98.07,$4.45,22.04
2023-06-30,69.14,$4.03,17.16
2023-03-31,75.9,$3.72,20.4
2022-12-31,81.55,$3.20,25.48
2022-09-30,62.58,$2.98,21.0
2022-06-30,61.8,$1.67,37.01
2022-03-31,40.11,$0.62,64.69
2021-12-31,58.3,$0.09,647.78
2019-09-30,32.22,$-0.96,0.0
2019-06-30,20.63,$-0.84,0.0
2019-03-31,24.8,$-1.08,0.0
2018-12-31,22.44,$-0.94,0.0
2018-09-30,26.29,$-0.73,0.0
2021-03-31,133.88,$-1.07,0.0
2020-09-30,74.15,$-0.91,0.0
2020-06-30,85.84,$-0.98,0.0
2020-03-31,36.03,$-0.87,0.0
2019-12-31,37.82,$-0.19,0.0
2020-12-31,177.67,$0.28,634.54
