Charles Schwab PE Ratio Historical Data,Charles Schwab PE Ratio Historical Data,Charles Schwab PE Ratio Historical Data,Charles Schwab PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,72.27,,30.24
2024-03-31,72.1,$2.39,30.17
2023-12-31,68.3,$2.54,26.89
2023-09-30,54.25,$3.00,18.08
2023-06-30,55.79,$3.43,16.27
2023-03-31,51.29,$3.66,14.01
2022-12-31,81.27,$3.50,23.22
2022-09-30,69.96,$3.29,21.26
2022-06-30,61.31,$3.04,20.17
2022-03-31,81.57,$2.76,29.55
2021-12-31,81.19,$2.66,30.52
2021-09-30,70.16,$2.38,29.48
2021-06-30,69.97,$2.12,33.0
2020-12-31,50.68,$2.11,24.02
2020-09-30,34.48,$2.16,15.96
2020-06-30,31.93,$2.41,13.25
2020-03-31,31.66,$2.63,12.04
2019-12-31,44.62,$2.71,16.46
2021-03-31,62.48,$2.78,22.47
2019-09-30,39.09,$2.70,14.48
2019-06-30,37.39,$2.65,14.11
2019-03-31,39.62,$2.59,15.3
2018-12-31,38.34,$2.45,15.65
2018-09-30,45.26,$2.21,20.48
2018-06-30,46.93,$1.98,23.7
2018-03-31,47.88,$1.77,27.05
2017-12-31,47.0,$1.61,29.2
2017-09-30,39.95,$1.56,25.61
2017-06-30,39.16,$1.49,26.28
2017-03-31,37.13,$1.40,26.52
2016-12-31,35.84,$1.30,27.57
2016-09-30,28.6,$1.22,23.45
2016-06-30,22.88,$1.15,19.89
2016-03-31,25.26,$1.10,22.97
2015-12-31,29.61,$1.03,28.75
2015-09-30,25.63,$1.00,25.63
2015-06-30,29.26,$0.96,30.48
2015-03-31,27.22,$0.94,28.96
2014-12-31,26.94,$0.95,28.36
2014-09-30,26.17,$0.92,28.45
2014-06-30,23.93,$0.86,27.83
2013-12-31,22.99,$0.78,29.48
2013-09-30,18.65,$0.70,26.64
2013-06-30,18.68,$0.72,25.94
2013-03-31,15.51,$0.73,21.25
2012-12-31,12.54,$0.78,16.08
2014-03-31,24.23,$0.78,31.06
2012-09-30,11.12,$0.67,16.6
2012-06-30,11.19,$0.66,16.96
2012-03-31,12.38,$0.66,18.76
2011-12-31,9.66,$0.71,13.6
2011-09-30,9.62,$0.68,14.15
2011-06-30,13.97,$0.60,23.29
2011-03-31,15.26,$0.57,26.78
2010-12-31,14.44,$0.47,30.72
2010-09-30,11.68,$0.51,22.91
2010-06-30,11.87,$0.58,20.47
2010-03-31,15.6,$0.59,26.44
2009-12-31,15.65,$0.68,23.02
