Marsh & McLennan PE Ratio Historical Data,Marsh & McLennan PE Ratio Historical Data,Marsh & McLennan PE Ratio Historical Data,Marsh & McLennan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,207.89,,26.38
2024-03-31,205.26,$7.88,26.05
2023-12-31,188.14,$7.53,24.99
2023-09-30,188.27,$6.94,27.13
2023-06-30,185.38,$6.55,28.3
2023-03-31,163.59,$6.39,25.6
2022-12-31,161.99,$6.02,26.91
2022-09-30,145.59,$6.66,21.86
2022-06-30,150.84,$6.63,22.75
2022-03-31,165.06,$6.32,26.12
2021-12-31,167.77,$6.13,27.37
2021-09-30,145.66,$5.29,27.54
2021-06-30,134.82,$4.86,27.74
2021-03-31,116.29,$4.38,26.55
2020-12-31,111.24,$3.95,28.16
2020-09-30,108.61,$3.98,27.29
2020-06-30,101.26,$3.95,25.64
2020-03-31,81.12,$3.48,23.31
2019-12-31,104.12,$3.40,30.62
2019-09-30,93.06,$2.94,31.65
2019-06-30,92.37,$2.89,31.96
2019-03-31,86.56,$3.28,26.39
2018-12-31,73.52,$3.22,22.83
2018-09-30,75.87,$2.98,25.46
2018-06-30,74.82,$3.20,23.38
2018-03-31,75.03,$3.12,24.05
2017-12-31,73.61,$2.87,25.65
2017-09-30,75.46,$3.65,20.67
2017-06-30,70.19,$3.62,19.39
2017-03-31,66.22,$3.56,18.6
2016-12-31,60.27,$3.38,17.83
2016-09-30,59.66,$3.25,18.36
2016-06-30,60.43,$3.13,19.31
2016-03-31,53.39,$3.00,17.8
2015-12-31,48.4,$2.97,16.3
2015-09-30,45.32,$2.80,16.19
2015-06-30,48.94,$2.73,17.93
2015-03-31,48.18,$2.73,17.65
2014-12-31,48.92,$2.65,18.46
2014-09-30,44.49,$2.65,16.79
2014-06-30,43.81,$2.56,17.11
2014-03-31,41.47,$2.48,16.72
2013-12-31,40.45,$2.42,16.72
2013-09-30,36.22,$2.35,15.41
2013-06-30,33.0,$2.34,14.1
2013-03-31,31.19,$2.24,13.92
2012-12-31,28.13,$2.13,13.21
2012-09-30,27.51,$2.13,12.91
2012-06-30,25.94,$1.93,13.44
2012-03-31,26.22,$1.84,14.25
2011-12-31,25.11,$1.79,14.03
2011-09-30,20.91,$1.69,12.37
2011-06-30,24.4,$1.75,13.94
2011-03-31,23.15,$1.68,13.78
2010-12-31,21.08,$1.56,13.51
2010-09-30,18.43,$1.26,14.63
2010-06-30,17.08,$1.38,12.38
2010-03-31,18.35,$0.58,31.63
2009-12-31,16.44,$0.46,35.73
