Becton Dickinson PE Ratio Historical Data,Becton Dickinson PE Ratio Historical Data,Becton Dickinson PE Ratio Historical Data,Becton Dickinson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,228.79,,50.39
2024-03-31,247.45,$4.54,54.5
2023-12-31,242.86,$4.22,57.55
2023-09-30,256.46,$4.96,51.71
2023-06-30,261.0,$5.51,47.37
2023-03-31,243.83,$5.33,45.75
2022-12-31,249.51,$5.30,47.08
2022-09-30,217.84,$5.88,37.05
2022-06-30,240.2,$5.80,41.41
2022-03-31,251.9,$6.34,39.73
2021-12-31,237.37,$5.78,41.07
2021-09-30,231.21,$6.85,33.75
2021-06-30,228.01,$6.37,35.79
2021-03-31,227.19,$5.62,40.42
2020-12-31,233.0,$5.21,44.72
2020-09-30,215.92,$2.27,95.12
2020-06-30,221.29,$3.42,64.7
2020-03-31,211.82,$2.38,89.0
2019-09-30,231.7,$3.90,59.41
2019-06-30,230.15,$2.85,80.75
2019-03-31,227.33,$2.21,102.86
2018-12-31,204.47,$4.31,47.44
2018-09-30,236.07,$2.07,114.05
2019-12-31,249.87,$1.95,128.14
2018-06-30,216.05,$2.32,93.12
2018-03-31,194.8,$-0.46,0.0
2017-12-31,191.78,$1.31,146.4
2017-09-30,174.95,$4.65,37.62
2017-06-30,173.57,$3.50,49.59
2017-03-31,162.57,$6.05,26.87
2016-12-31,146.13,$6.03,24.23
2016-09-30,157.95,$4.51,35.02
2016-06-30,148.49,$5.26,28.23
2016-03-31,132.41,$3.75,35.31
2015-12-31,133.79,$3.27,40.91
2015-09-30,114.69,$3.41,33.63
2015-06-30,121.92,$4.10,29.74
2015-03-31,123.06,$5.46,22.54
2014-12-31,118.77,$5.83,20.37
2014-09-30,96.72,$6.00,16.12
2014-06-30,100.07,$4.93,20.3
2014-03-31,98.59,$4.80,20.54
2013-12-31,92.6,$4.74,19.54
2013-09-30,83.4,$6.50,12.83
2013-06-30,82.0,$7.47,10.98
2013-03-31,78.93,$7.54,10.47
2012-12-31,64.19,$7.54,8.51
2012-09-30,64.08,$5.62,11.4
2012-06-30,60.61,$5.55,10.92
2012-03-31,62.58,$5.49,11.4
2011-12-31,59.86,$5.48,10.92
2011-09-30,58.38,$5.63,10.37
2011-06-30,68.26,$5.95,11.47
2011-03-31,62.77,$5.71,10.99
2010-12-31,66.29,$5.57,11.9
2010-09-30,57.82,$5.51,10.49
2010-06-30,52.49,$5.12,10.25
2010-03-31,60.79,$5.22,11.65
2009-12-31,60.6,$5.04,12.02
