Stanley Black & Decker PE Ratio Historical Data,Stanley Black & Decker PE Ratio Historical Data,Stanley Black & Decker PE Ratio Historical Data,Stanley Black & Decker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,86.13,,0.0
2024-03-31,97.93,$-0.69,0.0
2023-12-31,97.24,$-2.08,0.0
2023-09-30,82.11,$-0.39,0.0
2023-06-30,91.28,$5.08,17.97
2023-03-31,77.72,$4.47,17.39
2022-12-31,71.78,$6.79,10.57
2022-09-30,71.17,$9.12,7.8
2022-06-30,98.31,$6.18,15.91
2022-03-31,130.2,$8.42,15.46
2021-12-31,174.78,$10.34,16.9
2021-09-30,161.71,$11.23,14.4
2021-06-30,188.31,$11.11,16.95
2021-03-31,182.81,$9.82,18.62
2020-12-31,162.88,$7.72,21.1
2020-09-30,147.39,$6.16,23.93
2020-06-30,126.11,$5.25,24.02
2020-03-31,89.98,$6.10,14.75
2019-12-31,148.42,$6.35,23.37
2019-09-30,128.76,$4.58,28.11
2019-06-30,128.27,$4.70,27.29
2019-03-31,120.16,$4.26,28.21
2018-12-31,105.15,$4.24,24.8
2018-09-30,128.59,$6.53,19.69
2018-06-30,116.08,$6.68,17.38
2018-03-31,133.31,$6.57,20.29
2017-12-31,147.07,$8.05,18.27
2017-09-30,130.36,$7.92,16.46
2017-06-30,120.97,$7.80,15.51
2017-03-31,113.74,$7.82,14.54
2016-12-31,97.73,$6.51,15.01
2016-09-30,104.29,$6.57,15.87
2016-06-30,93.88,$6.41,14.65
2016-03-31,88.37,$6.06,14.58
2015-12-31,89.13,$5.82,15.31
2015-09-30,80.58,$4.96,16.25
2015-06-30,86.96,$4.91,17.71
2015-03-31,78.4,$4.78,16.4
2014-12-31,78.58,$4.76,16.51
2014-09-30,72.22,$4.20,17.2
2014-06-30,71.03,$3.77,18.84
2014-03-31,65.34,$3.59,18.2
2013-12-31,64.5,$3.08,20.94
2013-09-30,71.94,$5.72,12.58
2013-06-30,61.05,$5.37,11.37
2013-03-31,63.55,$5.11,12.44
2012-12-31,57.7,$5.32,10.85
2012-09-30,59.07,$3.32,17.79
2012-06-30,49.49,$3.55,13.94
2012-03-31,58.79,$3.77,15.59
2011-12-31,51.36,$3.97,12.94
2011-09-30,37.07,$3.79,9.78
2011-06-30,54.04,$3.60,15.01
2011-03-31,57.14,$2.74,20.85
2010-12-31,49.61,$0.73,67.96
2010-09-30,45.21,$0.60,75.35
2010-06-30,36.84,$0.62,59.42
2010-03-31,41.62,$1.21,34.39
2009-12-31,37.13,$2.77,13.41
